site_no,station_nm,date,gage_ht
06610740,"Big Papillion Creek at Pacific St at Omaha, Nebr.",2019-03-20 14:35:00,11.06
06610742,"Thomas Creek near Bennington, Nebr.",2019-03-20 14:00:00,2.35
06610750,"Little Papillion Creek at Irvington, Nebr.",2019-03-20 14:50:00,4.67
06610750,"Little Papillion Creek at Irvington, Nebr.",2019-03-20 14:50:00,4.52
06610760,"Cole Creek at Blondo Street at Omaha, Nebr.",2019-03-20 14:05:00,5.23
06610765,"Little Papillion Cr at Ak-Sar-Ben at Omaha, Nebr.",2019-03-20 14:40:00,2.68
06610770,"Big Papillion Creek at Q Street at Omaha, Nebr.",2019-03-20 14:50:00,8.9
06610773,"West Papillion Creek at Elkhorn, Nebr.",2019-03-20 14:50:00,3.26
06610780,"West Papillion Creek at Pacific St at Omaha, Nebr.",2019-03-20 14:50:00,9.13
06610785,"West Papillion Creek at Millard, Nebr.",2019-03-20 14:50:00,10.21
06610786,"South Papillion Creek near Gretna, Nebr.",2019-03-20 14:05:00,5.47
06610788,"South Papillion Creek at Chalco, Nebr.",2019-03-20 14:30:00,17.1
06610793,"West Papillion Creek at Papillion, Nebr.",2019-03-20 14:30:00,11.16
06610795,"Papillion Creek at Fort Crook, Nebr.",2019-03-20 14:30:00,21.56
06610795,"Papillion Creek at Fort Crook, Nebr.",2019-03-20 14:30:00,20.8
06674500,NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LINE,2019-03-20 13:45:00,2.2
06680500,"North Platte River at Scottsbluff, Nebr.",2019-03-20 13:00:00,5.29
06762500,"Lodgepole Creek at Bushnell, Nebr.",2019-03-20 13:45:00,3.01
06764880,"South Platte River at Roscoe, Nebr.",2019-03-20 13:30:00,5.11
06768000,"Platte River near Overton, Nebr.",2019-03-20 14:00:00,4.32
06768020,"Spring Creek near Overton, Nebr.",2019-03-20 14:45:00,5.43
06768025,"Platte R,So-Ch,Cottonwood Ranch nr Overton, Nebr.",2019-03-20 14:00:00,6.23
06768035,"Platte R Mid-Ch, Cottonwood Ranch nr Elm Cr, Nebr.",2019-03-20 13:45:00,5.45
06769000,"Buffalo Creek near Overton, Nebr.",2019-03-20 14:45:00,5.44
06769525,"Elm Creek near Elm Creek, Nebr.",2019-03-20 14:45:00,1.51
06770200,"Platte River near Kearney, Nebr.",2019-03-20 14:15:00,3.66
06770500,"Platte River near Grand Island, Nebr.",2019-03-20 14:15:00,5.15
06772100,"Wood River at Grand Island, Nebr.",2019-03-20 14:00:00,16.75
06772775,"Warm Slough near Central City, Nebr.",2019-03-20 14:45:00,5.74
06772898,"Silver Creek, at Mile 4 near Silver Creek, Nebr.",2019-03-20 14:45:00,6.45
06773500,"Prairie Creek near Silver Creek, Nebr.",2019-03-20 14:45:00,9.52
06774000,"Platte River near Duncan, Nebr.",2019-03-20 14:30:00,5.73
06775500,"Middle Loup River at Dunning, Nebr.",2019-03-20 14:45:00,3.38
06775900,"Dismal River near Thedford, Nebr.",2019-03-20 14:45:00,0.48
06777495,"Middle Loup River near Gates, Nebr.",2019-03-20 14:15:00,3.99
06781600,"South Loup River at Arnold, Nebr.",2019-03-20 14:45:00,7.24
06781900,"South Loup River at Pressey WMA near Oconto, Nebr.",2019-03-20 14:45:00,1.14
06781900,"South Loup River at Pressey WMA near Oconto, Nebr.",2019-03-20 14:45:00,1.1
06784000,"South Loup River at Saint Michael, Nebr.",2019-03-20 14:45:00,4.03
06785500,"North Loup River at Brewster, Nebr.",2019-03-20 14:45:00,3.16
06786000,"North Loup River at Taylor, Nebr.",2019-03-20 14:45:00,3.52
06790500,"North Loup River near Saint Paul, Nebr.",2019-03-20 14:15:00,3.4
06792500,"Loup River Power Canal near Genoa, Nebr.",2019-03-20 14:45:00,2.75
06793000,"Loup River near Genoa, Nebr.",2019-03-20 14:45:00,6.23
06794000,"Beaver Creek at Genoa, Nebr.",2019-03-20 14:45:00,7.29
06794650,"Clear Creek 1.75 mile W of Polk County line, Nebr.",2019-03-20 14:45:00,6.29
06795500,"Shell Creek near Columbus, Nebr.",2019-03-20 14:30:00,4.71
06796000,"Platte River at North Bend, Nebr.",2019-03-20 14:15:00,5
06796500,"Platte River near Leshara, Nebr.",2019-03-20 14:00:00,6.66
06797500,"Elkhorn River at Ewing, Nebr.",2019-03-20 14:45:00,8.03
06799000,"Elkhorn River at Norfolk, Nebr.",2019-03-20 14:15:00,6.7
06799100,"North Fork Elkhorn River near Pierce, Nebr.",2019-03-20 14:45:00,11.29
06799315,"Elkhorn River at Pilger, Nebr.",2019-03-20 14:45:00,9.32
06799350,"Elkhorn River at West Point, Nebr.",2019-03-20 14:15:00,9.12
06799350,"Elkhorn River at West Point, Nebr.",2019-03-20 14:15:00,8.76
06799445,"Logan Creek at Wakefield, Nebr.",2019-03-20 14:45:00,11.42
06799500,"Logan Creek near Uehling, Nebr.",2019-03-20 14:15:00,6.87
06800000,"Maple Creek near Nickerson, Nebr.",2019-03-20 13:45:00,3.32
06800500,"Elkhorn River at Waterloo, Nebr.",2019-03-20 14:15:00,9.72
06801000,"Platte River near Ashland, Nebr.",2019-03-20 14:15:00,19.01
06803000,"Salt Creek at Roca, Nebr.",2019-03-20 14:25:00,6.17
06803080,"Salt Creek at Pioneers Boulevard at Lincoln, Nebr.",2019-03-20 14:40:00,7.65
06803093,"Haines Branch at SW 56th St at Lincoln, Nebr.",2019-03-20 14:35:00,4.11
06803170,"Middle Creek at SW 63rd St at Lincoln, Nebr.",2019-03-20 14:15:00,3.56
06803300,"Antelope Creek at 27th Street at Lincoln, Nebr.",2019-03-20 14:10:00,4.07
06803420,"North Oak Creek near Touhy, Nebr.",2019-03-20 14:00:00,5.39
06803430,"North Oak Creek at Valparaiso, Nebr.",2019-03-20 14:30:00,6.09
06803430,"North Oak Creek at Valparaiso, Nebr.",2019-03-20 14:30:00,5.89
06803495,"Salt Creek at Fairgrounds at Lincoln, Nebr.",2019-03-20 14:40:00,12.86
06803500,"Salt Creek at 27th Street at Lincoln, Nebr.",2019-03-20 14:25:00,5.54
06803502,"Deadmans Run at 38th Street at Lincoln, Nebr.",2019-03-20 14:25:00,8.1
06803510,"Little Salt Creek near Lincoln, Nebr.",2019-03-20 14:45:00,1
06803513,"Salt Creek at 70th Street at Lincoln, Nebr.",2019-03-20 14:15:00,7.87
06803520,"Stevens Creek near Lincoln, Nebr.",2019-03-20 14:30:00,1.85
06803530,"Rock Creek near Ceresco, Nebr.",2019-03-20 14:45:00,6.09
06803555,"Salt Creek at Greenwood, Nebr.",2019-03-20 14:15:00,6.44
06804000,"Wahoo Creek at Ithaca, Nebr.",2019-03-20 14:15:00,7.66
06804700,"Wahoo Creek at Ashland, Nebr.",2019-03-20 14:45:00,9.07
06805000,"Salt Creek Near Ashland, Nebr.",2019-03-20 14:45:00,11.48
06805500,"Platte River at Louisville, Nebr.",2019-03-20 14:15:00,6.91
06805600,"Missouri River at Plattsmouth, NE",2019-03-20 14:15:00,35.15
06806500,"Weeping Water Creek at Union, Nebr.",2019-03-20 14:15:00,11.94
06806500,"Weeping Water Creek at Union, Nebr.",2019-03-20 14:15:00,11.76
06807000,"Missouri River at Nebraska City, NE",2019-03-20 14:45:00,25.39
06810070,"Missouri River at Brownville, NE",2019-03-20 14:15:00,42.81
06811500,"Little Nemaha River at Auburn, Nebr.",2019-03-20 14:15:00,10.7
06813500,"Missouri River at Rulo, NE",2019-03-20 14:45:00,27.77
06814500,"North Fork Big Nemaha River at Humboldt, Nebr.",2019-03-20 05:00:00,5.84
06815000,"Big Nemaha River at Falls City, Nebr.",2019-03-20 14:45:00,8.15
06821500,"Arikaree River at Haigler, Nebr.",2019-03-20 13:00:00,5.15
06823000,North Fork Republican River at Colorado-Nebraska,2019-03-20 13:30:00,1.38
06823000,North Fork Republican River at Colorado-Nebraska,2019-03-20 13:30:00,1.39
06823500,"Buffalo Creek near Haigler, Nebr.",2019-03-20 13:45:00,1.39
06824000,"Rock Creek at Parks, Nebr.",2019-03-20 13:45:00,1.06
06824500,"Republican River at Benkelman, Nebr.",2019-03-20 13:30:00,3.75
06824500,"Republican River at Benkelman, Nebr.",2019-03-20 13:30:00,3.73
06827500,"South Fork Republican River near Benkelman, Nebr.",2019-03-20 13:30:00,1.74
06828500,"Republican River at Stratton, Nebr.",2019-03-20 14:45:00,6.7
06828500,"Republican River at Stratton, Nebr.",2019-03-20 14:45:00,6.7
06834000,"Frenchman Creek at Palisade, Nebr.",2019-03-20 14:45:00,2.47
06835500,"Frenchman Creek at Culbertson, Nebr.",2019-03-20 14:15:00,3.67
06836500,"Driftwood Creek near McCook, Nebr.",2019-03-20 14:30:00,2.86
06837000,"Republican River at McCook, Nebr.",2019-03-20 14:30:00,4.39
06838000,"Red Willow Creek near Red Willow, Nebr.",2019-03-20 14:30:00,4.87
06843500,"Republican River at Cambridge, Nebr.",2019-03-20 14:45:00,3.38
06844500,"Republican River near Orleans, Nebr.",2019-03-20 14:45:00,3.33
06844500,"Republican River near Orleans, Nebr.",2019-03-20 14:45:00,3.36
06847000,"Beaver Creek near Beaver City, Nebr.",2019-03-20 14:30:00,3.27
06847500,"Sappa Creek near Stamford, Nebr.",2019-03-20 14:00:00,8.73
06853020,"Republican River at Guide Rock, Nebr.",2019-03-20 14:30:00,5.89
06853500,"REPUBLICAN R NR HARDY, NE",2019-03-20 14:30:00,4.22
06880800,"West Fork Big Blue River near Dorchester, Nebr.",2019-03-20 14:00:00,10.57
06881000,"Big Blue River near Crete, Nebr.",2019-03-20 14:45:00,21.77
06881380,"Turkey Creek near DeWitt, Nebr.",2019-03-20 14:45:00,22
06881380,"Turkey Creek near DeWitt, Nebr.",2018-12-11 01:00:00,11.36
06882000,"Big Blue River at Barneston, Nebr.",2019-03-20 14:00:00,17.71
06882000,"Big Blue River at Barneston, Nebr.",2019-03-20 14:00:00,17.87
06883000,"Little Blue River near Deweese, Nebr.",2019-03-20 14:15:00,4.68
06883000,"Little Blue River near Deweese, Nebr.",2019-03-20 14:15:00,4.68
06883530,"Little Blue River at County Line nr Deshler, Nebr.",2019-03-20 14:45:00,9.87
06883530,"Little Blue River at County Line nr Deshler, Nebr.",2019-03-20 14:45:00,8.85
06884000,"Little Blue River near Fairbury, Nebr.",2019-03-20 14:45:00,10.03
06884025,"Little Blue River at Hollenberg, KS",2019-03-20 14:00:00,5.8
