agency_cd,site_no,datetime,165986_00060_00001,165986_00060_00001_cd,165987_00060_00002,165987_00060_00002_cd,84936_00060_00003,84936_00060_00003_cd,84937_00065_00001,84937_00065_00001_cd,84938_00065_00002,84938_00065_00002_cd,84939_00065_00003,84939_00065_00003_cd
USGS,2085000,11/8/27,,,,,15,A,,,,,,
USGS,2085000,11/9/27,,,,,15,A,,,,,,
USGS,2085000,11/10/27,,,,,15,A,,,,,,
USGS,2085000,11/11/27,,,,,15,A,,,,,,
USGS,2085000,11/12/27,,,,,15,A,,,,,,
USGS,2085000,11/13/27,,,,,15,A,,,,,,
USGS,2085000,11/14/27,,,,,15,A,,,,,,
USGS,2085000,11/15/27,,,,,15,A,,,,,,
USGS,2085000,11/16/27,,,,,15,A,,,,,,
USGS,2085000,11/17/27,,,,,15,A,,,,,,
USGS,2085000,11/18/27,,,,,15,A,,,,,,
USGS,2085000,11/19/27,,,,,15,A,,,,,,
USGS,2085000,11/20/27,,,,,15,A,,,,,,
USGS,2085000,11/21/27,,,,,15,A,,,,,,
USGS,2085000,11/22/27,,,,,15,A,,,,,,
USGS,2085000,11/23/27,,,,,15,A,,,,,,
USGS,2085000,11/24/27,,,,,15,A,,,,,,
USGS,2085000,11/25/27,,,,,15,A,,,,,,
USGS,2085000,11/26/27,,,,,15,A,,,,,,
USGS,2085000,11/27/27,,,,,15,A,,,,,,
USGS,2085000,11/28/27,,,,,15,A,,,,,,
USGS,2085000,11/29/27,,,,,15,A,,,,,,
USGS,2085000,11/30/27,,,,,15,A,,,,,,
USGS,2085000,12/1/27,,,,,18,A,,,,,,
USGS,2085000,12/2/27,,,,,182,A,,,,,,
USGS,2085000,12/3/27,,,,,572,A,,,,,,
USGS,2085000,12/4/27,,,,,641,A,,,,,,
USGS,2085000,12/5/27,,,,,249,A,,,,,,
USGS,2085000,12/6/27,,,,,221,A,,,,,,
USGS,2085000,12/7/27,,,,,249,A,,,,,,
USGS,2085000,12/8/27,,,,,353,A,,,,,,
USGS,2085000,12/9/27,,,,,291,A,,,,,,
USGS,2085000,12/10/27,,,,,158,A,,,,,,
USGS,2085000,12/11/27,,,,,80,A,,,,,,
USGS,2085000,12/12/27,,,,,68,A,,,,,,
USGS,2085000,12/13/27,,,,,57,A,,,,,,
USGS,2085000,12/14/27,,,,,51,A,,,,,,
USGS,2085000,12/15/27,,,,,69,A,,,,,,
USGS,2085000,12/16/27,,,,,559,A,,,,,,
USGS,2085000,12/17/27,,,,,320,A,,,,,,
USGS,2085000,12/18/27,,,,,86,A,,,,,,
USGS,2085000,12/19/27,,,,,58,A,,,,,,
USGS,2085000,12/20/27,,,,,57,A,,,,,,
USGS,2085000,12/21/27,,,,,54,A,,,,,,
USGS,2085000,12/22/27,,,,,49,A,,,,,,
USGS,2085000,12/23/27,,,,,48,A,,,,,,
USGS,2085000,12/24/27,,,,,44,A,,,,,,
USGS,2085000,12/25/27,,,,,44,A,,,,,,
USGS,2085000,12/26/27,,,,,43,A,,,,,,
USGS,2085000,12/27/27,,,,,43,A,,,,,,
USGS,2085000,12/28/27,,,,,41,A,,,,,,
USGS,2085000,12/29/27,,,,,44,A,,,,,,
USGS,2085000,12/30/27,,,,,86,A,,,,,,
USGS,2085000,12/31/27,,,,,158,A,,,,,,
USGS,2085000,1/1/28,,,,,74,A,,,,,,
USGS,2085000,1/2/28,,,,,61,A,,,,,,
USGS,2085000,1/3/28,,,,,56,A,,,,,,
USGS,2085000,1/4/28,,,,,54,A,,,,,,
USGS,2085000,1/5/28,,,,,48,A,,,,,,
USGS,2085000,1/6/28,,,,,47,A,,,,,,
USGS,2085000,1/7/28,,,,,44,A,,,,,,
USGS,2085000,1/8/28,,,,,41,A,,,,,,
USGS,2085000,1/9/28,,,,,44,A,,,,,,
USGS,2085000,1/10/28,,,,,57,A,,,,,,
USGS,2085000,1/11/28,,,,,48,A,,,,,,
USGS,2085000,1/12/28,,,,,40,A,,,,,,
USGS,2085000,1/13/28,,,,,37,A,,,,,,
USGS,2085000,1/14/28,,,,,33,A,,,,,,
USGS,2085000,1/15/28,,,,,31,A,,,,,,
USGS,2085000,1/16/28,,,,,31,A,,,,,,
USGS,2085000,1/17/28,,,,,30,A,,,,,,
USGS,2085000,1/18/28,,,,,29,A,,,,,,
USGS,2085000,1/19/28,,,,,30,A,,,,,,
USGS,2085000,1/20/28,,,,,80,A,,,,,,
USGS,2085000,1/21/28,,,,,47,A,,,,,,
USGS,2085000,1/22/28,,,,,38,A,,,,,,
USGS,2085000,1/23/28,,,,,36,A,,,,,,
USGS,2085000,1/24/28,,,,,54,A,,,,,,
USGS,2085000,1/25/28,,,,,208,A,,,,,,
USGS,2085000,1/26/28,,,,,113,A,,,,,,
USGS,2085000,1/27/28,,,,,61,A,,,,,,
USGS,2085000,1/28/28,,,,,47,A,,,,,,
USGS,2085000,1/29/28,,,,,44,A,,,,,,
USGS,2085000,1/30/28,,,,,113,A,,,,,,
USGS,2085000,1/31/28,,,,,221,A,,,,,,
USGS,2085000,2/1/28,,,,,170,A,,,,,,
USGS,2085000,2/2/28,,,,,80,A,,,,,,
USGS,2085000,2/3/28,,,,,48,A,,,,,,
USGS,2085000,2/4/28,,,,,46,A,,,,,,
USGS,2085000,2/5/28,,,,,48,A,,,,,,
USGS,2085000,2/6/28,,,,,55,A,,,,,,
USGS,2085000,2/7/28,,,,,60,A,,,,,,
USGS,2085000,2/8/28,,,,,562,A,,,,,,
USGS,2085000,2/9/28,,,,,170,A,,,,,,
USGS,2085000,2/10/28,,,,,102,A,,,,,,
USGS,2085000,2/11/28,,,,,74,A,,,,,,
USGS,2085000,2/12/28,,,,,57,A,,,,,,
USGS,2085000,2/13/28,,,,,96,A,,,,,,
USGS,2085000,2/14/28,,,,,80,A,,,,,,
USGS,2085000,2/15/28,,,,,263,A,,,,,,
USGS,2085000,2/16/28,,,,,140,A,,,,,,
USGS,2085000,2/17/28,,,,,67,A,,,,,,
USGS,2085000,2/18/28,,,,,170,A,,,,,,
USGS,2085000,2/19/28,,,,,74,A,,,,,,
USGS,2085000,2/20/28,,,,,57,A,,,,,,
USGS,2085000,2/21/28,,,,,49,A,,,,,,
USGS,2085000,2/22/28,,,,,48,A,,,,,,
USGS,2085000,2/23/28,,,,,108,A,,,,,,
USGS,2085000,2/24/28,,,,,74,A,,,,,,
USGS,2085000,2/25/28,,,,,61,A,,,,,,
USGS,2085000,2/26/28,,,,,55,A,,,,,,
USGS,2085000,2/27/28,,,,,51,A,,,,,,
USGS,2085000,2/28/28,,,,,48,A,,,,,,
USGS,2085000,2/29/28,,,,,45,A,,,,,,
USGS,2085000,3/1/28,,,,,44,A,,,,,,
USGS,2085000,3/2/28,,,,,40,A,,,,,,
USGS,2085000,3/3/28,,,,,37,A,,,,,,
USGS,2085000,3/4/28,,,,,36,A,,,,,,
USGS,2085000,3/5/28,,,,,34,A,,,,,,
USGS,2085000,3/6/28,,,,,33,A,,,,,,
USGS,2085000,3/7/28,,,,,31,A,,,,,,
USGS,2085000,3/8/28,,,,,30,A,,,,,,
USGS,2085000,3/9/28,,,,,118,A,,,,,,
USGS,2085000,3/10/28,,,,,66,A,,,,,,
USGS,2085000,3/11/28,,,,,182,A,,,,,,
USGS,2085000,3/12/28,,,,,91,A,,,,,,
USGS,2085000,3/13/28,,,,,69,A,,,,,,
USGS,2085000,3/14/28,,,,,58,A,,,,,,
USGS,2085000,3/15/28,,,,,54,A,,,,,,
USGS,2085000,3/16/28,,,,,66,A,,,,,,
USGS,2085000,3/17/28,,,,,124,A,,,,,,
USGS,2085000,3/18/28,,,,,563,A,,,,,,
USGS,2085000,3/19/28,,,,,146,A,,,,,,
USGS,2085000,3/20/28,,,,,102,A,,,,,,
USGS,2085000,3/21/28,,,,,74,A,,,,,,
USGS,2085000,3/22/28,,,,,61,A,,,,,,
USGS,2085000,3/23/28,,,,,56,A,,,,,,
USGS,2085000,3/24/28,,,,,54,A,,,,,,
USGS,2085000,3/25/28,,,,,68,A,,,,,,
USGS,2085000,3/26/28,,,,,69,A,,,,,,
USGS,2085000,3/27/28,,,,,57,A,,,,,,
USGS,2085000,3/28/28,,,,,48,A,,,,,,
USGS,2085000,3/29/28,,,,,44,A,,,,,,
USGS,2085000,3/30/28,,,,,42,A,,,,,,
USGS,2085000,3/31/28,,,,,40,A,,,,,,
USGS,2085000,4/1/28,,,,,39,A,,,,,,
USGS,2085000,4/2/28,,,,,37,A,,,,,,
USGS,2085000,4/3/28,,,,,37,A,,,,,,
USGS,2085000,4/4/28,,,,,35,A,,,,,,
USGS,2085000,4/5/28,,,,,34,A,,,,,,
USGS,2085000,4/6/28,,,,,33,A,,,,,,
USGS,2085000,4/7/28,,,,,31,A,,,,,,
USGS,2085000,4/8/28,,,,,30,A,,,,,,
USGS,2085000,4/9/28,,,,,29,A,,,,,,
USGS,2085000,4/10/28,,,,,124,A,,,,,,
USGS,2085000,4/11/28,,,,,574,A,,,,,,
USGS,2085000,4/12/28,,,,,277,A,,,,,,
USGS,2085000,4/13/28,,,,,113,A,,,,,,
USGS,2085000,4/14/28,,,,,74,A,,,,,,
USGS,2085000,4/15/28,,,,,170,A,,,,,,
USGS,2085000,4/16/28,,,,,113,A,,,,,,
USGS,2085000,4/17/28,,,,,80,A,,,,,,
USGS,2085000,4/18/28,,,,,64,A,,,,,,
USGS,2085000,4/19/28,,,,,55,A,,,,,,
USGS,2085000,4/20/28,,,,,61,A,,,,,,
USGS,2085000,4/21/28,,,,,65,A,,,,,,
USGS,2085000,4/22/28,,,,,130,A,,,,,,
USGS,2085000,4/23/28,,,,,113,A,,,,,,
USGS,2085000,4/24/28,,,,,208,A,,,,,,
USGS,2085000,4/25/28,,,,,86,A,,,,,,
USGS,2085000,4/26/28,,,,,67,A,,,,,,
USGS,2085000,4/27/28,,,,,664,A,,,,,,
USGS,2085000,4/28/28,,,,,1520,A,,,,,,
USGS,2085000,4/29/28,,,,,208,A,,,,,,
USGS,2085000,4/30/28,,,,,158,A,,,,,,
USGS,2085000,5/1/28,,,,,130,A,,,,,,
USGS,2085000,5/2/28,,,,,102,A,,,,,,
USGS,2085000,5/3/28,,,,,80,A,,,,,,
USGS,2085000,5/4/28,,,,,69,A,,,,,,
USGS,2085000,5/5/28,,,,,58,A,,,,,,
USGS,2085000,5/6/28,,,,,52,A,,,,,,
USGS,2085000,5/7/28,,,,,47,A,,,,,,
USGS,2085000,5/8/28,,,,,74,A,,,,,,
USGS,2085000,5/9/28,,,,,69,A,,,,,,
USGS,2085000,5/10/28,,,,,56,A,,,,,,
USGS,2085000,5/11/28,,,,,49,A,,,,,,
USGS,2085000,5/12/28,,,,,46,A,,,,,,
USGS,2085000,5/13/28,,,,,44,A,,,,,,
USGS,2085000,5/14/28,,,,,43,A,,,,,,
USGS,2085000,5/15/28,,,,,40,A,,,,,,
USGS,2085000,5/16/28,,,,,37,A,,,,,,
USGS,2085000,5/17/28,,,,,33,A,,,,,,
USGS,2085000,5/18/28,,,,,44,A,,,,,,
USGS,2085000,5/19/28,,,,,49,A,,,,,,
USGS,2085000,5/20/28,,,,,74,A,,,,,,
USGS,2085000,5/21/28,,,,,52,A,,,,,,
USGS,2085000,5/22/28,,,,,38,A,,,,,,
USGS,2085000,5/23/28,,,,,36,A,,,,,,
USGS,2085000,5/24/28,,,,,34,A,,,,,,
USGS,2085000,5/25/28,,,,,33,A,,,,,,
USGS,2085000,5/26/28,,,,,39,A,,,,,,
USGS,2085000,5/27/28,,,,,33,A,,,,,,
USGS,2085000,5/28/28,,,,,37,A,,,,,,
USGS,2085000,5/29/28,,,,,33,A,,,,,,
USGS,2085000,5/30/28,,,,,31,A,,,,,,
USGS,2085000,5/31/28,,,,,30,A,,,,,,
USGS,2085000,6/1/28,,,,,28,A,,,,,,
USGS,2085000,6/2/28,,,,,26,A,,,,,,
USGS,2085000,6/3/28,,,,,51,A,,,,,,
USGS,2085000,6/4/28,,,,,353,A,,,,,,
USGS,2085000,6/5/28,,,,,517,A,,,,,,
USGS,2085000,6/6/28,,,,,182,A,,,,,,
USGS,2085000,6/7/28,,,,,91,A,,,,,,
USGS,2085000,6/8/28,,,,,55,A,,,,,,
USGS,2085000,6/9/28,,,,,37,A,,,,,,
USGS,2085000,6/10/28,,,,,34,A,,,,,,
USGS,2085000,6/11/28,,,,,47,A,,,,,,
USGS,2085000,6/12/28,,,,,38,A,,,,,,
USGS,2085000,6/13/28,,,,,35,A,,,,,,
USGS,2085000,6/14/28,,,,,32,A,,,,,,
USGS,2085000,6/15/28,,,,,29,A,,,,,,
USGS,2085000,6/16/28,,,,,27,A,,,,,,
USGS,2085000,6/17/28,,,,,25,A,,,,,,
USGS,2085000,6/18/28,,,,,24,A,,,,,,
USGS,2085000,6/19/28,,,,,22,A,,,,,,
USGS,2085000,6/20/28,,,,,20,A,,,,,,
USGS,2085000,6/21/28,,,,,18,A,,,,,,
USGS,2085000,6/22/28,,,,,16,A,,,,,,
USGS,2085000,6/23/28,,,,,14,A,,,,,,
USGS,2085000,6/24/28,,,,,16,A,,,,,,
USGS,2085000,6/25/28,,,,,17,A,,,,,,
USGS,2085000,6/26/28,,,,,16,A,,,,,,
USGS,2085000,6/27/28,,,,,16,A,,,,,,
USGS,2085000,6/28/28,,,,,15,A,,,,,,
USGS,2085000,6/29/28,,,,,28,A,,,,,,
USGS,2085000,6/30/28,,,,,22,A,,,,,,
USGS,2085000,7/1/28,,,,,20,A,,,,,,
USGS,2085000,7/2/28,,,,,18,A,,,,,,
USGS,2085000,7/3/28,,,,,16,A,,,,,,
USGS,2085000,7/4/28,,,,,14,A,,,,,,
USGS,2085000,7/5/28,,,,,13,A,,,,,,
USGS,2085000,7/6/28,,,,,12,A,,,,,,
USGS,2085000,7/7/28,,,,,11,A,,,,,,
USGS,2085000,7/8/28,,,,,11,A,,,,,,
USGS,2085000,7/9/28,,,,,9.8,A,,,,,,
USGS,2085000,7/10/28,,,,,17,A,,,,,,
USGS,2085000,7/11/28,,,,,37,A,,,,,,
USGS,2085000,7/12/28,,,,,39,A,,,,,,
USGS,2085000,7/13/28,,,,,69,A,,,,,,
USGS,2085000,7/14/28,,,,,40,A,,,,,,
USGS,2085000,7/15/28,,,,,18,A,,,,,,
USGS,2085000,7/16/28,,,,,16,A,,,,,,
USGS,2085000,7/17/28,,,,,14,A,,,,,,
USGS,2085000,7/18/28,,,,,13,A,,,,,,
USGS,2085000,7/19/28,,,,,11,A,,,,,,
USGS,2085000,7/20/28,,,,,10,A,,,,,,
USGS,2085000,7/21/28,,,,,9.4,A,,,,,,
USGS,2085000,7/22/28,,,,,8.7,A,,,,,,
USGS,2085000,7/23/28,,,,,12,A,,,,,,
USGS,2085000,7/24/28,,,,,13,A,,,,,,
USGS,2085000,7/25/28,,,,,11,A,,,,,,
USGS,2085000,7/26/28,,,,,10,A,,,,,,
USGS,2085000,7/27/28,,,,,9.4,A,,,,,,
USGS,2085000,7/28/28,,,,,8.3,A,,,,,,
USGS,2085000,7/29/28,,,,,9.4,A,,,,,,
USGS,2085000,7/30/28,,,,,8.3,A,,,,,,
USGS,2085000,7/31/28,,,,,7.7,A,,,,,,
USGS,2085000,8/1/28,,,,,7,A,,,,,,
USGS,2085000,8/2/28,,,,,6.4,A,,,,,,
USGS,2085000,8/3/28,,,,,5.7,A,,,,,,
USGS,2085000,8/4/28,,,,,5.2,A,,,,,,
USGS,2085000,8/5/28,,,,,4.7,A,,,,,,
USGS,2085000,8/6/28,,,,,12,A,,,,,,
USGS,2085000,8/7/28,,,,,11,A,,,,,,
USGS,2085000,8/8/28,,,,,17,A,,,,,,
USGS,2085000,8/9/28,,,,,22,A,,,,,,
USGS,2085000,8/10/28,,,,,25,A,,,,,,
USGS,2085000,8/11/28,,,,,404,A,,,,,,
USGS,2085000,8/12/28,,,,,102,A,,,,,,
USGS,2085000,8/13/28,,,,,65,A,,,,,,
USGS,2085000,8/14/28,,,,,51,A,,,,,,
USGS,2085000,8/15/28,,,,,235,A,,,,,,
USGS,2085000,8/16/28,,,,,764,A,,,,,,
USGS,2085000,8/17/28,,,,,235,A,,,,,,
USGS,2085000,8/18/28,,,,,91,A,,,,,,
USGS,2085000,8/19/28,,,,,55,A,,,,,,
USGS,2085000,8/20/28,,,,,43,A,,,,,,
USGS,2085000,8/21/28,,,,,32,A,,,,,,
USGS,2085000,8/22/28,,,,,29,A,,,,,,
USGS,2085000,8/23/28,,,,,27,A,,,,,,
USGS,2085000,8/24/28,,,,,25,A,,,,,,
USGS,2085000,8/25/28,,,,,37,A,,,,,,
USGS,2085000,8/26/28,,,,,34,A,,,,,,
USGS,2085000,8/27/28,,,,,29,A,,,,,,
USGS,2085000,8/28/28,,,,,26,A,,,,,,
USGS,2085000,8/29/28,,,,,24,A,,,,,,
USGS,2085000,8/30/28,,,,,22,A,,,,,,
USGS,2085000,8/31/28,,,,,24,A,,,,,,
USGS,2085000,9/1/28,,,,,96,A,,,,,,
USGS,2085000,9/2/28,,,,,235,A,,,,,,
USGS,2085000,9/3/28,,,,,474,A,,,,,,
USGS,2085000,9/4/28,,,,,182,A,,,,,,
USGS,2085000,9/5/28,,,,,574,A,,,,,,
USGS,2085000,9/6/28,,,,,1930,A,,,,,,
USGS,2085000,9/7/28,,,,,277,A,,,,,,
USGS,2085000,9/8/28,,,,,64,A,,,,,,
USGS,2085000,9/9/28,,,,,57,A,,,,,,
USGS,2085000,9/10/28,,,,,52,A,,,,,,
USGS,2085000,9/11/28,,,,,47,A,,,,,,
USGS,2085000,9/12/28,,,,,43,A,,,,,,
USGS,2085000,9/13/28,,,,,38,A,,,,,,
USGS,2085000,9/14/28,,,,,36,A,,,,,,
USGS,2085000,9/15/28,,,,,35,A,,,,,,
USGS,2085000,9/16/28,,,,,33,A,,,,,,
USGS,2085000,9/17/28,,,,,30,A,,,,,,
USGS,2085000,9/18/28,,,,,502,A,,,,,,
USGS,2085000,9/19/28,,,,,2510,A,,,,,,
USGS,2085000,9/20/28,,,,,691,A,,,,,,
USGS,2085000,9/21/28,,,,,263,A,,,,,,
USGS,2085000,9/22/28,,,,,118,A,,,,,,
USGS,2085000,9/23/28,,,,,80,A,,,,,,
USGS,2085000,9/24/28,,,,,74,A,,,,,,
USGS,2085000,9/25/28,,,,,68,A,,,,,,
USGS,2085000,9/26/28,,,,,58,A,,,,,,
USGS,2085000,9/27/28,,,,,50,A,,,,,,
USGS,2085000,9/28/28,,,,,45,A,,,,,,
USGS,2085000,9/29/28,,,,,43,A,,,,,,
USGS,2085000,9/30/28,,,,,52,A,,,,,,
USGS,2085000,10/1/28,,,,,46,A,,,,,,
USGS,2085000,10/2/28,,,,,44,A,,,,,,
USGS,2085000,10/3/28,,,,,42,A,,,,,,
USGS,2085000,10/4/28,,,,,38,A,,,,,,
USGS,2085000,10/5/28,,,,,37,A,,,,,,
USGS,2085000,10/6/28,,,,,35,A,,,,,,
USGS,2085000,10/7/28,,,,,50,A,,,,,,
USGS,2085000,10/8/28,,,,,39,A,,,,,,
USGS,2085000,10/9/28,,,,,33,A,,,,,,
USGS,2085000,10/10/28,,,,,32,A,,,,,,
USGS,2085000,10/11/28,,,,,30,A,,,,,,
USGS,2085000,10/12/28,,,,,29,A,,,,,,
USGS,2085000,10/13/28,,,,,28,A,,,,,,
USGS,2085000,10/14/28,,,,,27,A,,,,,,
USGS,2085000,10/15/28,,,,,26,A,,,,,,
USGS,2085000,10/16/28,,,,,23,A,,,,,,
USGS,2085000,10/17/28,,,,,23,A,,,,,,
USGS,2085000,10/18/28,,,,,22,A,,,,,,
USGS,2085000,10/19/28,,,,,33,A,,,,,,
USGS,2085000,10/20/28,,,,,32,A,,,,,,
USGS,2085000,10/21/28,,,,,31,A,,,,,,
USGS,2085000,10/22/28,,,,,31,A,,,,,,
USGS,2085000,10/23/28,,,,,31,A,,,,,,
USGS,2085000,10/24/28,,,,,30,A,,,,,,
USGS,2085000,10/25/28,,,,,30,A,,,,,,
USGS,2085000,10/26/28,,,,,28,A,,,,,,
USGS,2085000,10/27/28,,,,,28,A,,,,,,
USGS,2085000,10/28/28,,,,,27,A,,,,,,
USGS,2085000,10/29/28,,,,,25,A,,,,,,
USGS,2085000,10/30/28,,,,,24,A,,,,,,
USGS,2085000,10/31/28,,,,,28,A,,,,,,
USGS,2085000,11/1/28,,,,,28,A,,,,,,
USGS,2085000,11/2/28,,,,,26,A,,,,,,
USGS,2085000,11/3/28,,,,,25,A,,,,,,
USGS,2085000,11/4/28,,,,,24,A,,,,,,
USGS,2085000,11/5/28,,,,,24,A,,,,,,
USGS,2085000,11/6/28,,,,,24,A,,,,,,
USGS,2085000,11/7/28,,,,,23,A,,,,,,
USGS,2085000,11/8/28,,,,,23,A,,,,,,
USGS,2085000,11/9/28,,,,,22,A,,,,,,
USGS,2085000,11/10/28,,,,,22,A,,,,,,
USGS,2085000,11/11/28,,,,,22,A,,,,,,
USGS,2085000,11/12/28,,,,,22,A,,,,,,
USGS,2085000,11/13/28,,,,,21,A,,,,,,
USGS,2085000,11/14/28,,,,,20,A,,,,,,
USGS,2085000,11/15/28,,,,,20,A,,,,,,
USGS,2085000,11/16/28,,,,,21,A,,,,,,
USGS,2085000,11/17/28,,,,,21,A,,,,,,
USGS,2085000,11/18/28,,,,,20,A,,,,,,
USGS,2085000,11/19/28,,,,,19,A,,,,,,
USGS,2085000,11/20/28,,,,,33,A,,,,,,
USGS,2085000,11/21/28,,,,,30,A,,,,,,
USGS,2085000,11/22/28,,,,,28,A,,,,,,
USGS,2085000,11/23/28,,,,,25,A,,,,,,
USGS,2085000,11/24/28,,,,,23,A,,,,,,
USGS,2085000,11/25/28,,,,,22,A,,,,,,
USGS,2085000,11/26/28,,,,,20,A,,,,,,
USGS,2085000,11/27/28,,,,,20,A,,,,,,
USGS,2085000,11/28/28,,,,,19,A,,,,,,
USGS,2085000,11/29/28,,,,,19,A,,,,,,
USGS,2085000,11/30/28,,,,,18,A,,,,,,
USGS,2085000,12/1/28,,,,,32,A,,,,,,
USGS,2085000,12/2/28,,,,,32,A,,,,,,
USGS,2085000,12/3/28,,,,,28,A,,,,,,
USGS,2085000,12/4/28,,,,,25,A,,,,,,
USGS,2085000,12/5/28,,,,,23,A,,,,,,
USGS,2085000,12/6/28,,,,,22,A,,,,,,
USGS,2085000,12/7/28,,,,,21,A,,,,,,
USGS,2085000,12/8/28,,,,,20,A,,,,,,
USGS,2085000,12/9/28,,,,,19,A,,,,,,
USGS,2085000,12/10/28,,,,,19,A,,,,,,
USGS,2085000,12/11/28,,,,,18,A,,,,,,
USGS,2085000,12/12/28,,,,,18,A,,,,,,
USGS,2085000,12/13/28,,,,,17,A,,,,,,
USGS,2085000,12/14/28,,,,,28,A,,,,,,
USGS,2085000,12/15/28,,,,,37,A,,,,,,
USGS,2085000,12/16/28,,,,,32,A,,,,,,
USGS,2085000,12/17/28,,,,,29,A,,,,,,
USGS,2085000,12/18/28,,,,,25,A,,,,,,
USGS,2085000,12/19/28,,,,,23,A,,,,,,
USGS,2085000,12/20/28,,,,,32,A,,,,,,
USGS,2085000,12/21/28,,,,,30,A,,,,,,
USGS,2085000,12/22/28,,,,,27,A,,,,,,
USGS,2085000,12/23/28,,,,,25,A,,,,,,
USGS,2085000,12/24/28,,,,,23,A,,,,,,
USGS,2085000,12/25/28,,,,,22,A,,,,,,
USGS,2085000,12/26/28,,,,,21,A,,,,,,
USGS,2085000,12/27/28,,,,,20,A,,,,,,
USGS,2085000,12/28/28,,,,,19,A,,,,,,
USGS,2085000,12/29/28,,,,,19,A,,,,,,
USGS,2085000,12/30/28,,,,,18,A,,,,,,
USGS,2085000,12/31/28,,,,,18,A,,,,,,
USGS,2085000,1/1/29,,,,,25,A,,,,,,
USGS,2085000,1/2/29,,,,,25,A,,,,,,
USGS,2085000,1/3/29,,,,,25,A,,,,,,
USGS,2085000,1/4/29,,,,,25,A,,,,,,
USGS,2085000,1/5/29,,,,,25,A,,,,,,
USGS,2085000,1/6/29,,,,,25,A,,,,,,
USGS,2085000,1/7/29,,,,,25,A,,,,,,
USGS,2085000,1/8/29,,,,,25,A,,,,,,
USGS,2085000,1/9/29,,,,,25,A,,,,,,
USGS,2085000,1/10/29,,,,,25,A,,,,,,
USGS,2085000,1/11/29,,,,,25,A,,,,,,
USGS,2085000,1/12/29,,,,,25,A,,,,,,
USGS,2085000,1/13/29,,,,,25,A,,,,,,
USGS,2085000,1/14/29,,,,,25,A,,,,,,
USGS,2085000,1/15/29,,,,,25,A,,,,,,
USGS,2085000,1/16/29,,,,,25,A,,,,,,
USGS,2085000,1/17/29,,,,,25,A,,,,,,
USGS,2085000,1/18/29,,,,,25,A,,,,,,
USGS,2085000,1/19/29,,,,,25,A,,,,,,
USGS,2085000,1/20/29,,,,,25,A,,,,,,
USGS,2085000,1/21/29,,,,,25,A,,,,,,
USGS,2085000,1/22/29,,,,,25,A,,,,,,
USGS,2085000,1/23/29,,,,,25,A,,,,,,
USGS,2085000,1/24/29,,,,,25,A,,,,,,
USGS,2085000,1/25/29,,,,,25,A,,,,,,
USGS,2085000,1/26/29,,,,,25,A,,,,,,
USGS,2085000,1/27/29,,,,,25,A,,,,,,
USGS,2085000,1/28/29,,,,,25,A,,,,,,
USGS,2085000,1/29/29,,,,,25,A,,,,,,
USGS,2085000,1/30/29,,,,,25,A,,,,,,
USGS,2085000,1/31/29,,,,,25,A,,,,,,
