uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy
"c80eb883-99a3-42d6-8dbb-c6b0c0e3db1c","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","40","NIWO_047_197",40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"6535c53d-8fee-4e61-b86f-6f890fe4da12","NIWO_047.basePlot.ltr","D13","NIWO","NIWO_047","40","NIWO_047_120",40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"d3c096eb-7e1e-4f59-9187-65feab262110","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","32","NIWO_061_065",40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84",10.2,0.4,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"aaf17162-f07b-430c-8bac-c61feea6c148","NIWO_063.basePlot.ltr","D13","NIWO","NIWO_063","41","NIWO_063_210",40.048980,-105.585058,3432.7,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"077e9259-ebde-427e-91a8-5d5765c9c3d6","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","41","NIWO_061_169",40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84",10.2,0.4,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"86e15b31-780e-4994-8da6-6c85df713dc0","NIWO_046.basePlot.ltr","D13","NIWO","NIWO_046","31","NIWO_046_006",40.048158,-105.586127,3426.9,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"cd8f3c8d-084a-4c1b-895c-8f71295c79fd","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","32","NIWO_058_101",40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"797cceb3-bb58-43b0-bdc1-45f6404acfc3","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","41","NIWO_040_139",40.046551,-105.584709,3364.0,"evergreenForest","tower","WGS84",20.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"3d4be708-576e-451b-8efc-702aa8cece5f","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","41","NIWO_040_205",40.046551,-105.584709,3364.0,"evergreenForest","tower","WGS84",20.2,0.3,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"ae51707c-9391-42eb-bb87-a8781f7178df","NIWO_067.basePlot.ltr","D13","NIWO","NIWO_067","31","NIWO_067_017",40.049790,-105.585046,3443.5,"grasslandHerbaceous","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Elevated","Targeted",0.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
"65cf3f78-d857-4961-8b42-b8fc35a915a0","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","40","NIWO_058_121",40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84",10.1,0.1,"2015-07-15","NEON.DOC.001710vB","Y","Ground","Targeted",1.5,"measuredBy, recordedBy, and setDate not reported","tdelpriore@neoninc.org"
