lakeid,lakename,year4,daynum,sampledate,depth,depth_id,tpc,tpn,DIC_mg,DIC_uM,air_pco2,water_pco2,doc,absorbance
R,Peter Lake,1984,198,7/16/84,4,4,NA,NA,2.84,236.6666667,NA,NA,NA,NA
R,Peter Lake,1984,198,7/16/84,7,6,NA,NA,7.16,596.6666667,NA,NA,NA,NA
L,Paul Lake,1984,204,7/22/84,0,1,NA,NA,1.35,112.5,NA,NA,NA,NA
L,Paul Lake,1984,204,7/22/84,0.75,2,NA,NA,1.39,115.8333333,NA,NA,NA,NA
L,Paul Lake,1984,204,7/22/84,1.5,3,NA,NA,1.29,107.5,NA,NA,NA,NA
L,Paul Lake,1984,204,7/22/84,2.5,4,NA,NA,1.57,130.8333333,NA,NA,NA,NA
L,Paul Lake,1984,204,7/22/84,5.5,6,NA,NA,3.3,275,NA,NA,NA,NA
R,Peter Lake,1984,205,7/23/84,0,1,NA,NA,3.16,263.3333333,NA,NA,NA,NA
R,Peter Lake,1984,205,7/23/84,1,2,NA,NA,3.16,263.3333333,NA,NA,NA,NA
R,Peter Lake,1984,205,7/23/84,2,3,NA,NA,3.04,253.3333333,NA,NA,NA,NA
R,Peter Lake,1984,205,7/23/84,4,4,NA,NA,2.87,239.1666667,NA,NA,NA,NA
R,Peter Lake,1984,205,7/23/84,7,6,NA,NA,6.29,524.1666667,NA,NA,NA,NA
L,Paul Lake,1984,211,7/29/84,0,1,NA,NA,1.31,109.1666667,NA,NA,NA,NA
L,Paul Lake,1984,211,7/29/84,0.75,2,NA,NA,1.45,120.8333333,NA,NA,NA,NA
L,Paul Lake,1984,211,7/29/84,1.75,3,NA,NA,0.88,73.33333333,NA,NA,NA,NA
L,Paul Lake,1984,211,7/29/84,3,4,NA,NA,1.1,91.66666667,NA,NA,NA,NA
L,Paul Lake,1984,211,7/29/84,5.5,6,NA,NA,2.19,182.5,NA,NA,NA,NA
R,Peter Lake,1984,212,7/30/84,0,1,NA,NA,3.32,276.6666667,NA,NA,NA,NA
R,Peter Lake,1984,212,7/30/84,1,2,NA,NA,3.08,256.6666667,NA,NA,NA,NA
R,Peter Lake,1984,212,7/30/84,2.25,3,NA,NA,2.86,238.3333333,NA,NA,NA,NA
R,Peter Lake,1984,212,7/30/84,4,4,NA,NA,3.01,250.8333333,NA,NA,NA,NA
R,Peter Lake,1984,212,7/30/84,8,6,NA,NA,5.8,483.3333333,NA,NA,NA,NA
T,Tuesday Lake,1984,213,7/31/84,0,1,NA,NA,1.05,87.5,NA,NA,NA,NA
T,Tuesday Lake,1984,213,7/31/84,0.33,2,NA,NA,1.28,106.6666667,NA,NA,NA,NA
T,Tuesday Lake,1984,213,7/31/84,0.75,3,NA,NA,1.07,89.16666667,NA,NA,NA,NA
T,Tuesday Lake,1984,213,7/31/84,1.5,4,NA,NA,1.49,124.1666667,NA,NA,NA,NA
T,Tuesday Lake,1984,213,7/31/84,3,5,NA,NA,3.15,262.5,NA,NA,NA,NA
L,Paul Lake,1984,218,8/5/84,0,1,NA,NA,1.16,96.66666667,NA,NA,NA,NA
L,Paul Lake,1984,218,8/5/84,0.75,2,NA,NA,1.29,107.5,NA,NA,NA,NA
L,Paul Lake,1984,218,8/5/84,1.5,3,NA,NA,1.35,112.5,NA,NA,NA,NA
L,Paul Lake,1984,218,8/5/84,3,4,NA,NA,1.99,165.8333333,NA,NA,NA,NA
L,Paul Lake,1984,218,8/5/84,5.5,6,NA,NA,3.89,324.1666667,NA,NA,NA,NA
R,Peter Lake,1984,219,8/6/84,0,1,NA,NA,3.21,267.5,NA,NA,NA,NA
R,Peter Lake,1984,219,8/6/84,1,2,NA,NA,2.95,245.8333333,NA,NA,NA,NA
R,Peter Lake,1984,219,8/6/84,2.25,3,NA,NA,2.96,246.6666667,NA,NA,NA,NA
R,Peter Lake,1984,219,8/6/84,3.75,4,NA,NA,2.97,247.5,NA,NA,NA,NA
R,Peter Lake,1984,219,8/6/84,7,6,NA,NA,5.4,450,NA,NA,NA,NA
T,Tuesday Lake,1984,220,8/7/84,0,1,NA,NA,1.22,101.6666667,NA,NA,NA,NA
T,Tuesday Lake,1984,220,8/7/84,0.33,2,NA,NA,0.9,75,NA,NA,NA,NA
T,Tuesday Lake,1984,220,8/7/84,0.75,3,NA,NA,0.98,81.66666667,NA,NA,NA,NA
T,Tuesday Lake,1984,220,8/7/84,1.5,4,NA,NA,1.47,122.5,NA,NA,NA,NA
L,Paul Lake,1984,225,8/12/84,0,1,NA,NA,0.87,72.5,NA,NA,NA,NA
L,Paul Lake,1984,225,8/12/84,0.75,2,NA,NA,1.08,90,NA,NA,NA,NA
L,Paul Lake,1984,225,8/12/84,1.5,3,NA,NA,0.96,80,NA,NA,NA,NA
L,Paul Lake,1984,225,8/12/84,2.75,4,NA,NA,1.25,104.1666667,NA,NA,NA,NA
L,Paul Lake,1984,225,8/12/84,5.25,6,NA,NA,3.13,260.8333333,NA,NA,NA,NA
R,Peter Lake,1984,226,8/13/84,0,1,NA,NA,2.81,234.1666667,NA,NA,NA,NA
R,Peter Lake,1984,226,8/13/84,1,2,NA,NA,2.87,239.1666667,NA,NA,NA,NA
R,Peter Lake,1984,226,8/13/84,2.5,3,NA,NA,2.87,239.1666667,NA,NA,NA,NA
R,Peter Lake,1984,226,8/13/84,4.5,4,NA,NA,3.08,256.6666667,NA,NA,NA,NA
R,Peter Lake,1984,226,8/13/84,8,6,NA,NA,5.76,480,NA,NA,NA,NA
T,Tuesday Lake,1984,227,8/14/84,0,1,NA,NA,1.09,90.83333333,NA,NA,NA,NA
T,Tuesday Lake,1984,227,8/14/84,0.33,2,NA,NA,1.03,85.83333333,NA,NA,NA,NA
T,Tuesday Lake,1984,227,8/14/84,0.65,3,NA,NA,1.04,86.66666667,NA,NA,NA,NA
T,Tuesday Lake,1984,227,8/14/84,1.25,4,NA,NA,1.1,91.66666667,NA,NA,NA,NA
T,Tuesday Lake,1984,227,8/14/84,3,5,NA,NA,2.47,205.8333333,NA,NA,NA,NA
L,Paul Lake,1984,232,8/19/84,2.75,4,NA,NA,1.17,97.5,NA,NA,NA,NA
L,Paul Lake,1984,232,8/19/84,5.25,6,NA,NA,3.88,323.3333333,NA,NA,NA,NA
R,Peter Lake,1984,233,8/20/84,0,1,NA,NA,3.42,285,NA,NA,NA,NA
R,Peter Lake,1984,233,8/20/84,0.75,2,NA,NA,3.33,277.5,NA,NA,NA,NA
R,Peter Lake,1984,233,8/20/84,2,3,NA,NA,3.17,264.1666667,NA,NA,NA,NA
R,Peter Lake,1984,233,8/20/84,4.5,4,NA,NA,3.3,275,NA,NA,NA,NA
R,Peter Lake,1984,233,8/20/84,8,6,NA,NA,7.24,603.3333333,NA,NA,NA,NA
L,Paul Lake,1985,140,5/20/85,0,1,NA,NA,1.72,143.3333333,NA,NA,NA,NA
L,Paul Lake,1985,140,5/20/85,0.5,2,NA,NA,3.45,287.5,NA,NA,NA,NA
L,Paul Lake,1985,140,5/20/85,1.25,3,NA,NA,1.372,114.3333333,NA,NA,NA,NA
L,Paul Lake,1985,140,5/20/85,3,4,NA,NA,3.09,257.5,NA,NA,NA,NA
L,Paul Lake,1985,140,5/20/85,3.75,5,NA,NA,5.44,453.3333333,NA,NA,NA,NA
L,Paul Lake,1985,140,5/20/85,5,6,NA,NA,8.67,722.5,NA,NA,NA,NA
R,Peter Lake,1985,141,5/21/85,0,1,NA,NA,5.49,457.5,NA,NA,NA,NA
R,Peter Lake,1985,141,5/21/85,1,2,NA,NA,4.94,411.6666667,NA,NA,NA,NA
R,Peter Lake,1985,141,5/21/85,2,3,NA,NA,4.97,414.1666667,NA,NA,NA,NA
R,Peter Lake,1985,141,5/21/85,3.5,4,NA,NA,5.46,455,NA,NA,NA,NA
R,Peter Lake,1985,141,5/21/85,4.5,5,NA,NA,5.48,456.6666667,NA,NA,NA,NA
R,Peter Lake,1985,141,5/21/85,6.5,6,NA,NA,6.43,535.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,142,5/22/85,0,1,NA,NA,1.32,110,NA,NA,NA,NA
T,Tuesday Lake,1985,142,5/22/85,0.33,2,NA,NA,1.66,138.3333333,NA,NA,NA,NA
T,Tuesday Lake,1985,142,5/22/85,0.75,3,NA,NA,1.505,125.4166667,NA,NA,NA,NA
T,Tuesday Lake,1985,142,5/22/85,1.25,4,NA,NA,1.646,137.1666667,NA,NA,NA,NA
T,Tuesday Lake,1985,142,5/22/85,1.75,5,NA,NA,1.85,154.1666667,NA,NA,NA,NA
T,Tuesday Lake,1985,142,5/22/85,2.5,6,NA,NA,3.575,297.9166667,NA,NA,NA,NA
L,Paul Lake,1985,147,5/27/85,0,1,NA,NA,2.04,170,NA,NA,NA,NA
L,Paul Lake,1985,147,5/27/85,0.6,2,NA,NA,2.407,200.5833333,NA,NA,NA,NA
L,Paul Lake,1985,147,5/27/85,1,3,NA,NA,2.78,231.6666667,NA,NA,NA,NA
L,Paul Lake,1985,147,5/27/85,2,4,NA,NA,1.27,105.8333333,NA,NA,NA,NA
L,Paul Lake,1985,147,5/27/85,3.5,5,NA,NA,2.1,175,NA,NA,NA,NA
L,Paul Lake,1985,147,5/27/85,4.5,6,NA,NA,2.87,239.1666667,NA,NA,NA,NA
R,Peter Lake,1985,148,5/28/85,0,1,NA,NA,4.24,353.3333333,NA,NA,NA,NA
R,Peter Lake,1985,148,5/28/85,1,2,NA,NA,8.62,718.3333333,NA,NA,NA,NA
R,Peter Lake,1985,148,5/28/85,2,3,NA,NA,7.45,620.8333333,NA,NA,NA,NA
R,Peter Lake,1985,148,5/28/85,3.5,4,NA,NA,8.19,682.5,NA,NA,NA,NA
R,Peter Lake,1985,148,5/28/85,4.5,5,NA,NA,4.24,353.3333333,NA,NA,NA,NA
R,Peter Lake,1985,148,5/28/85,7,6,NA,NA,9.91,825.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,149,5/29/85,0,1,NA,NA,1.33,110.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,149,5/29/85,0.3,2,NA,NA,1.727,143.9166667,NA,NA,NA,NA
T,Tuesday Lake,1985,149,5/29/85,0.75,3,NA,NA,1.37,114.1666667,NA,NA,NA,NA
T,Tuesday Lake,1985,149,5/29/85,1.25,4,NA,NA,1.85,154.1666667,NA,NA,NA,NA
T,Tuesday Lake,1985,149,5/29/85,1.5,5,NA,NA,1.68,140,NA,NA,NA,NA
T,Tuesday Lake,1985,149,5/29/85,2.5,6,NA,NA,4.06,338.3333333,NA,NA,NA,NA
L,Paul Lake,1985,154,6/3/85,0,1,NA,NA,1.62,135,NA,NA,NA,NA
L,Paul Lake,1985,154,6/3/85,0.75,2,NA,NA,1.8,150,NA,NA,NA,NA
L,Paul Lake,1985,154,6/3/85,1.5,3,NA,NA,1.61,134.1666667,NA,NA,NA,NA
L,Paul Lake,1985,154,6/3/85,2.75,4,NA,NA,1.55,129.1666667,NA,NA,NA,NA
L,Paul Lake,1985,154,6/3/85,3.75,5,NA,NA,1.78,148.3333333,NA,NA,NA,NA
L,Paul Lake,1985,154,6/3/85,5,6,NA,NA,3.76,313.3333333,NA,NA,NA,NA
R,Peter Lake,1985,155,6/4/85,0,1,NA,NA,2.68,223.3333333,NA,NA,NA,NA
R,Peter Lake,1985,155,6/4/85,1,2,NA,NA,3.03,252.5,NA,NA,NA,NA
R,Peter Lake,1985,155,6/4/85,2,3,NA,NA,3.04,253.3333333,NA,NA,NA,NA
R,Peter Lake,1985,155,6/4/85,3.75,4,NA,NA,3.67,305.8333333,NA,NA,NA,NA
R,Peter Lake,1985,155,6/4/85,5,5,NA,NA,4.04,336.6666667,NA,NA,NA,NA
R,Peter Lake,1985,155,6/4/85,7.5,6,NA,NA,5.71,475.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,156,6/5/85,0,1,NA,NA,1.59,132.5,NA,NA,NA,NA
T,Tuesday Lake,1985,156,6/5/85,0.33,2,NA,NA,1.68,140,NA,NA,NA,NA
T,Tuesday Lake,1985,156,6/5/85,0.7,3,NA,NA,1.57,130.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,156,6/5/85,1.25,4,NA,NA,1.66,138.3333333,NA,NA,NA,NA
T,Tuesday Lake,1985,156,6/5/85,1.75,5,NA,NA,2.93,244.1666667,NA,NA,NA,NA
T,Tuesday Lake,1985,156,6/5/85,2.25,6,NA,NA,5.01,417.5,NA,NA,NA,NA
L,Paul Lake,1985,161,6/10/85,0,1,NA,NA,1.32,110,NA,NA,NA,NA
L,Paul Lake,1985,161,6/10/85,0.75,2,NA,NA,1.29,107.5,NA,NA,NA,NA
L,Paul Lake,1985,161,6/10/85,1.5,3,NA,NA,1.34,111.6666667,NA,NA,NA,NA
L,Paul Lake,1985,161,6/10/85,2.75,4,NA,NA,1.31,109.1666667,NA,NA,NA,NA
L,Paul Lake,1985,161,6/10/85,3.75,5,NA,NA,1.92,160,NA,NA,NA,NA
L,Paul Lake,1985,161,6/10/85,5,6,NA,NA,3.87,322.5,NA,NA,NA,NA
R,Peter Lake,1985,162,6/11/85,0,1,NA,NA,2.51,209.1666667,NA,NA,NA,NA
R,Peter Lake,1985,162,6/11/85,1,2,NA,NA,2.82,235,NA,NA,NA,NA
R,Peter Lake,1985,162,6/11/85,2,3,NA,NA,2.85,237.5,NA,NA,NA,NA
R,Peter Lake,1985,162,6/11/85,4,4,NA,NA,3.44,286.6666667,NA,NA,NA,NA
R,Peter Lake,1985,162,6/11/85,5,5,NA,NA,4.42,368.3333333,NA,NA,NA,NA
R,Peter Lake,1985,162,6/11/85,7.5,6,NA,NA,5.94,495,NA,NA,NA,NA
T,Tuesday Lake,1985,163,6/12/85,0,1,NA,NA,1.84,153.3333333,NA,NA,NA,NA
T,Tuesday Lake,1985,163,6/12/85,0.33,2,NA,NA,1.95,162.5,NA,NA,NA,NA
T,Tuesday Lake,1985,163,6/12/85,0.75,3,NA,NA,1.96,163.3333333,NA,NA,NA,NA
T,Tuesday Lake,1985,163,6/12/85,1.25,4,NA,NA,1.92,160,NA,NA,NA,NA
T,Tuesday Lake,1985,163,6/12/85,1.75,5,NA,NA,2.17,180.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,163,6/12/85,2.25,6,NA,NA,2.73,227.5,NA,NA,NA,NA
L,Paul Lake,1985,175,6/24/85,0,1,NA,NA,0.83,69.16666667,NA,NA,NA,NA
L,Paul Lake,1985,175,6/24/85,0.75,2,NA,NA,1.02,85,NA,NA,NA,NA
L,Paul Lake,1985,175,6/24/85,1.5,3,NA,NA,0.97,80.83333333,NA,NA,NA,NA
L,Paul Lake,1985,175,6/24/85,2.75,4,NA,NA,0.8,66.66666667,NA,NA,NA,NA
L,Paul Lake,1985,175,6/24/85,3.75,5,NA,NA,1.34,111.6666667,NA,NA,NA,NA
L,Paul Lake,1985,175,6/24/85,5,6,NA,NA,1.3,108.3333333,NA,NA,NA,NA
R,Peter Lake,1985,176,6/25/85,0,1,NA,NA,2.38,198.3333333,NA,NA,NA,NA
R,Peter Lake,1985,176,6/25/85,0.75,2,NA,NA,2.47,205.8333333,NA,NA,NA,NA
R,Peter Lake,1985,176,6/25/85,2,3,NA,NA,2.43,202.5,NA,NA,NA,NA
R,Peter Lake,1985,176,6/25/85,3.75,4,NA,NA,2.81,234.1666667,NA,NA,NA,NA
R,Peter Lake,1985,176,6/25/85,5,5,NA,NA,3.33,277.5,NA,NA,NA,NA
R,Peter Lake,1985,176,6/25/85,8,6,NA,NA,4.57,380.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,177,6/26/85,0,1,NA,NA,1.35,112.5,NA,NA,NA,NA
T,Tuesday Lake,1985,177,6/26/85,0.25,2,NA,NA,1.58,131.6666667,NA,NA,NA,NA
T,Tuesday Lake,1985,177,6/26/85,0.65,3,NA,NA,1.67,139.1666667,NA,NA,NA,NA
T,Tuesday Lake,1985,177,6/26/85,1,4,NA,NA,1.78,148.3333333,NA,NA,NA,NA
T,Tuesday Lake,1985,177,6/26/85,1.5,5,NA,NA,1.51,125.8333333,NA,NA,NA,NA
T,Tuesday Lake,1985,177,6/26/85,2.5,6,NA,NA,3.92,326.6666667,NA,NA,NA,NA
L,Paul Lake,1985,182,7/1/85,0,1,NA,NA,1.43,119.1666667,NA,NA,NA,NA
L,Paul Lake,1985,182,7/1/85,0.75,2,NA,NA,1.51,125.8333333,NA,NA,NA,NA
L,Paul Lake,1985,182,7/1/85,1.5,3,NA,NA,1.43,119.1666667,NA,NA,NA,NA
L,Paul Lake,1985,182,7/1/85,2.5,4,NA,NA,1.22,101.6666667,NA,NA,NA,NA
L,Paul Lake,1985,182,7/1/85,3.5,5,NA,NA,1.51,125.8333333,NA,NA,NA,NA
L,Paul Lake,1985,182,7/1/85,4.7,6,NA,NA,1.63,135.8333333,NA,NA,NA,NA
R,Peter Lake,1985,183,7/2/85,0,1,NA,NA,2.55,212.5,NA,NA,NA,NA
R,Peter Lake,1985,183,7/2/85,0.87,2,NA,NA,2.54,211.6666667,NA,NA,NA,NA
R,Peter Lake,1985,183,7/2/85,1.75,3,NA,NA,2.51,209.1666667,NA,NA,NA,NA
R,Peter Lake,1985,183,7/2/85,3.25,4,NA,NA,2.57,214.1666667,NA,NA,NA,NA
R,Peter Lake,1985,183,7/2/85,4.5,5,NA,NA,2.92,243.3333333,NA,NA,NA,NA
R,Peter Lake,1985,183,7/2/85,7,6,NA,NA,4.01,334.1666667,NA,NA,NA,NA
