Rainfall - (MM), Year, Statistics, Country, ISO3
109.886, 1911, May Average, Brazil, BRA
79.5623, 1911, Jun Average, Brazil, BRA
60.2925, 1911, Jul Average, Brazil, BRA
58.0774, 1911, Aug Average, Brazil, BRA
91.172, 1911, Sep Average, Brazil, BRA
118.678, 1911, Oct Average, Brazil, BRA
146.008, 1911, Nov Average, Brazil, BRA
195.55, 1911, Dec Average, Brazil, BRA
231.64, 1912, Jan Average, Brazil, BRA
233.412, 1912, Feb Average, Brazil, BRA
253.137, 1912, Mar Average, Brazil, BRA
174.515, 1912, Apr Average, Brazil, BRA
122.783, 1912, May Average, Brazil, BRA
81.9993, 1912, Jun Average, Brazil, BRA
54.0289, 1912, Jul Average, Brazil, BRA
51.8981, 1912, Aug Average, Brazil, BRA
90.5624, 1912, Sep Average, Brazil, BRA
124.447, 1912, Oct Average, Brazil, BRA
151.332, 1912, Nov Average, Brazil, BRA
189.899, 1912, Dec Average, Brazil, BRA
226.385, 1913, Jan Average, Brazil, BRA
226.744, 1913, Feb Average, Brazil, BRA
234.652, 1913, Mar Average, Brazil, BRA
185.718, 1913, Apr Average, Brazil, BRA
132.876, 1913, May Average, Brazil, BRA
71.8556, 1913, Jun Average, Brazil, BRA
57.4594, 1913, Jul Average, Brazil, BRA
60.9401, 1913, Aug Average, Brazil, BRA
86.5036, 1913, Sep Average, Brazil, BRA
108.143, 1913, Oct Average, Brazil, BRA
157.919, 1913, Nov Average, Brazil, BRA
179.005, 1913, Dec Average, Brazil, BRA
265.751, 1914, Jan Average, Brazil, BRA
181.877, 1914, Feb Average, Brazil, BRA
190.964, 1914, Mar Average, Brazil, BRA
156.9, 1914, Apr Average, Brazil, BRA
101.266, 1914, May Average, Brazil, BRA
85.6471, 1914, Jun Average, Brazil, BRA
68.7375, 1914, Jul Average, Brazil, BRA
66.2003, 1914, Aug Average, Brazil, BRA
61.4768, 1914, Sep Average, Brazil, BRA
127.118, 1914, Oct Average, Brazil, BRA
131.282, 1914, Nov Average, Brazil, BRA
189.763, 1914, Dec Average, Brazil, BRA
176.747, 1915, Jan Average, Brazil, BRA
138.17, 1915, Feb Average, Brazil, BRA
203.326, 1915, Mar Average, Brazil, BRA
147.102, 1915, Apr Average, Brazil, BRA
110.553, 1915, May Average, Brazil, BRA
78.4146, 1915, Jun Average, Brazil, BRA
57.888, 1915, Jul Average, Brazil, BRA
55.4169, 1915, Aug Average, Brazil, BRA
56.7674, 1915, Sep Average, Brazil, BRA
110.777, 1915, Oct Average, Brazil, BRA
130.66, 1915, Nov Average, Brazil, BRA
208.636, 1915, Dec Average, Brazil, BRA
188.523, 1916, Jan Average, Brazil, BRA
229.403, 1916, Feb Average, Brazil, BRA
245.671, 1916, Mar Average, Brazil, BRA
184.776, 1916, Apr Average, Brazil, BRA
126.026, 1916, May Average, Brazil, BRA
78.3744, 1916, Jun Average, Brazil, BRA
45.6794, 1916, Jul Average, Brazil, BRA
42.2156, 1916, Aug Average, Brazil, BRA
52.1466, 1916, Sep Average, Brazil, BRA
121.301, 1916, Oct Average, Brazil, BRA
178.537, 1916, Nov Average, Brazil, BRA
245.867, 1916, Dec Average, Brazil, BRA
255.405, 1917, Jan Average, Brazil, BRA
242.683, 1917, Feb Average, Brazil, BRA
244.916, 1917, Mar Average, Brazil, BRA
170.824, 1917, Apr Average, Brazil, BRA
134.327, 1917, May Average, Brazil, BRA
82.6076, 1917, Jun Average, Brazil, BRA
55.8038, 1917, Jul Average, Brazil, BRA
47.6675, 1917, Aug Average, Brazil, BRA
64.7232, 1917, Sep Average, Brazil, BRA
108.882, 1917, Oct Average, Brazil, BRA
149.349, 1917, Nov Average, Brazil, BRA
207.036, 1917, Dec Average, Brazil, BRA
225.31, 1918, Jan Average, Brazil, BRA
179.797, 1918, Feb Average, Brazil, BRA
224.919, 1918, Mar Average, Brazil, BRA
192.701, 1918, Apr Average, Brazil, BRA
144.429, 1918, May Average, Brazil, BRA
68.6149, 1918, Jun Average, Brazil, BRA
74.5949, 1918, Jul Average, Brazil, BRA
53.5085, 1918, Aug Average, Brazil, BRA
71.0717, 1918, Sep Average, Brazil, BRA
155.443, 1918, Oct Average, Brazil, BRA
161.531, 1918, Nov Average, Brazil, BRA
197.412, 1918, Dec Average, Brazil, BRA
229.846, 1919, Jan Average, Brazil, BRA
235.117, 1919, Feb Average, Brazil, BRA
224.849, 1919, Mar Average, Brazil, BRA
137.038, 1919, Apr Average, Brazil, BRA
112.5, 1919, May Average, Brazil, BRA
86.6824, 1919, Jun Average, Brazil, BRA
53.4099, 1919, Jul Average, Brazil, BRA
69.4524, 1919, Aug Average, Brazil, BRA
80.3069, 1919, Sep Average, Brazil, BRA
131.122, 1919, Oct Average, Brazil, BRA
143.003, 1919, Nov Average, Brazil, BRA
175.528, 1919, Dec Average, Brazil, BRA
206.32, 1920, Jan Average, Brazil, BRA
193.717, 1920, Feb Average, Brazil, BRA
245.763, 1920, Mar Average, Brazil, BRA
192.525, 1920, Apr Average, Brazil, BRA
132.829, 1920, May Average, Brazil, BRA
87.41, 1920, Jun Average, Brazil, BRA
81.3187, 1920, Jul Average, Brazil, BRA
64.3731, 1920, Aug Average, Brazil, BRA
96.1181, 1920, Sep Average, Brazil, BRA
115.493, 1920, Oct Average, Brazil, BRA
141.041, 1920, Nov Average, Brazil, BRA
200.829, 1920, Dec Average, Brazil, BRA
209.032, 1921, Jan Average, Brazil, BRA
218.231, 1921, Feb Average, Brazil, BRA
213.656, 1921, Mar Average, Brazil, BRA
182.11, 1921, Apr Average, Brazil, BRA
131.442, 1921, May Average, Brazil, BRA
94.9689, 1921, Jun Average, Brazil, BRA
74.1102, 1921, Jul Average, Brazil, BRA
44.1725, 1921, Aug Average, Brazil, BRA
78.38, 1921, Sep Average, Brazil, BRA
159.604, 1921, Oct Average, Brazil, BRA
200.851, 1921, Nov Average, Brazil, BRA
192.18, 1921, Dec Average, Brazil, BRA
230.905, 1922, Jan Average, Brazil, BRA
229.383, 1922, Feb Average, Brazil, BRA
228.978, 1922, Mar Average, Brazil, BRA
179.225, 1922, Apr Average, Brazil, BRA
137.241, 1922, May Average, Brazil, BRA
86.1152, 1922, Jun Average, Brazil, BRA
62.1934, 1922, Jul Average, Brazil, BRA
65.548, 1922, Aug Average, Brazil, BRA
65.7566, 1922, Sep Average, Brazil, BRA
128.107, 1922, Oct Average, Brazil, BRA
175.065, 1922, Nov Average, Brazil, BRA
180.966, 1922, Dec Average, Brazil, BRA
222.927, 1923, Jan Average, Brazil, BRA
246.092, 1923, Feb Average, Brazil, BRA
225.177, 1923, Mar Average, Brazil, BRA
174.908, 1923, Apr Average, Brazil, BRA
138.158, 1923, May Average, Brazil, BRA
89.01, 1923, Jun Average, Brazil, BRA
51.8811, 1923, Jul Average, Brazil, BRA
52.684, 1923, Aug Average, Brazil, BRA
88.5702, 1923, Sep Average, Brazil, BRA
126.495, 1923, Oct Average, Brazil, BRA
130.915, 1923, Nov Average, Brazil, BRA
157.391, 1923, Dec Average, Brazil, BRA
261.757, 1924, Jan Average, Brazil, BRA
242.889, 1924, Feb Average, Brazil, BRA
314.393, 1924, Mar Average, Brazil, BRA
193.386, 1924, Apr Average, Brazil, BRA
156.542, 1924, May Average, Brazil, BRA
101.037, 1924, Jun Average, Brazil, BRA
53.0257, 1924, Jul Average, Brazil, BRA
33.8592, 1924, Aug Average, Brazil, BRA
63.0821, 1924, Sep Average, Brazil, BRA
134.45, 1924, Oct Average, Brazil, BRA
160.941, 1924, Nov Average, Brazil, BRA
251.6, 1924, Dec Average, Brazil, BRA
215.652, 1925, Jan Average, Brazil, BRA
180.505, 1925, Feb Average, Brazil, BRA
226.56, 1925, Mar Average, Brazil, BRA
166.271, 1925, Apr Average, Brazil, BRA
119.738, 1925, May Average, Brazil, BRA
75.6494, 1925, Jun Average, Brazil, BRA
68.2437, 1925, Jul Average, Brazil, BRA
43.8623, 1925, Aug Average, Brazil, BRA
91.1499, 1925, Sep Average, Brazil, BRA
132.968, 1925, Oct Average, Brazil, BRA
136.112, 1925, Nov Average, Brazil, BRA
223.695, 1925, Dec Average, Brazil, BRA
244.5, 1926, Jan Average, Brazil, BRA
244.273, 1926, Feb Average, Brazil, BRA
269.104, 1926, Mar Average, Brazil, BRA
189.612, 1926, Apr Average, Brazil, BRA
129.325, 1926, May Average, Brazil, BRA
66.8298, 1926, Jun Average, Brazil, BRA
53.1789, 1926, Jul Average, Brazil, BRA
48.2326, 1926, Aug Average, Brazil, BRA
64.5163, 1926, Sep Average, Brazil, BRA
101.966, 1926, Oct Average, Brazil, BRA
146.622, 1926, Nov Average, Brazil, BRA
203.844, 1926, Dec Average, Brazil, BRA
206.395, 1927, Jan Average, Brazil, BRA
244.035, 1927, Feb Average, Brazil, BRA
227.439, 1927, Mar Average, Brazil, BRA
173.26, 1927, Apr Average, Brazil, BRA
133.182, 1927, May Average, Brazil, BRA
86.7883, 1927, Jun Average, Brazil, BRA
53.6936, 1927, Jul Average, Brazil, BRA
62.1755, 1927, Aug Average, Brazil, BRA
73.5973, 1927, Sep Average, Brazil, BRA
124.184, 1927, Oct Average, Brazil, BRA
138.013, 1927, Nov Average, Brazil, BRA
188.752, 1927, Dec Average, Brazil, BRA
264.42, 1928, Jan Average, Brazil, BRA
208.675, 1928, Feb Average, Brazil, BRA
246.12, 1928, Mar Average, Brazil, BRA
190.631, 1928, Apr Average, Brazil, BRA
102.862, 1928, May Average, Brazil, BRA
64.0134, 1928, Jun Average, Brazil, BRA
60.2498, 1928, Jul Average, Brazil, BRA
44.1117, 1928, Aug Average, Brazil, BRA
86.1042, 1928, Sep Average, Brazil, BRA
100.754, 1928, Oct Average, Brazil, BRA
160.754, 1928, Nov Average, Brazil, BRA
198.606, 1928, Dec Average, Brazil, BRA
242.773, 1929, Jan Average, Brazil, BRA
225.196, 1929, Feb Average, Brazil, BRA
252.408, 1929, Mar Average, Brazil, BRA
177.839, 1929, Apr Average, Brazil, BRA
150.64, 1929, May Average, Brazil, BRA
81.9698, 1929, Jun Average, Brazil, BRA
56.435, 1929, Jul Average, Brazil, BRA
62.9501, 1929, Aug Average, Brazil, BRA
78.8124, 1929, Sep Average, Brazil, BRA
106.679, 1929, Oct Average, Brazil, BRA
142.781, 1929, Nov Average, Brazil, BRA
238.119, 1929, Dec Average, Brazil, BRA
208.239, 1930, Jan Average, Brazil, BRA
196.493, 1930, Feb Average, Brazil, BRA
237.285, 1930, Mar Average, Brazil, BRA
153.282, 1930, Apr Average, Brazil, BRA
102.312, 1930, May Average, Brazil, BRA
74.8993, 1930, Jun Average, Brazil, BRA
48.704, 1930, Jul Average, Brazil, BRA
42.9423, 1930, Aug Average, Brazil, BRA
66.3445, 1930, Sep Average, Brazil, BRA
127.273, 1930, Oct Average, Brazil, BRA
163.349, 1930, Nov Average, Brazil, BRA
205.266, 1930, Dec Average, Brazil, BRA
184.535, 1931, Jan Average, Brazil, BRA
233.294, 1931, Feb Average, Brazil, BRA
269.597, 1931, Mar Average, Brazil, BRA
176.257, 1931, Apr Average, Brazil, BRA
125.011, 1931, May Average, Brazil, BRA
66.0687, 1931, Jun Average, Brazil, BRA
49.8196, 1931, Jul Average, Brazil, BRA
48.7713, 1931, Aug Average, Brazil, BRA
73.5941, 1931, Sep Average, Brazil, BRA
137.395, 1931, Oct Average, Brazil, BRA
154.007, 1931, Nov Average, Brazil, BRA
152.238, 1931, Dec Average, Brazil, BRA
238.207, 1932, Jan Average, Brazil, BRA
193.986, 1932, Feb Average, Brazil, BRA
214.626, 1932, Mar Average, Brazil, BRA
127.073, 1932, Apr Average, Brazil, BRA
108.404, 1932, May Average, Brazil, BRA
74.9334, 1932, Jun Average, Brazil, BRA
54.1782, 1932, Jul Average, Brazil, BRA
52.9186, 1932, Aug Average, Brazil, BRA
75.8461, 1932, Sep Average, Brazil, BRA
112.679, 1932, Oct Average, Brazil, BRA
144.327, 1932, Nov Average, Brazil, BRA
161.959, 1932, Dec Average, Brazil, BRA
215.288, 1933, Jan Average, Brazil, BRA
185.183, 1933, Feb Average, Brazil, BRA
232.277, 1933, Mar Average, Brazil, BRA
201.658, 1933, Apr Average, Brazil, BRA
91.8948, 1933, May Average, Brazil, BRA
65.6544, 1933, Jun Average, Brazil, BRA
60.1131, 1933, Jul Average, Brazil, BRA
43.5812, 1933, Aug Average, Brazil, BRA
70.4602, 1933, Sep Average, Brazil, BRA
130.466, 1933, Oct Average, Brazil, BRA
177.322, 1933, Nov Average, Brazil, BRA
202.528, 1933, Dec Average, Brazil, BRA
212.491, 1934, Jan Average, Brazil, BRA
243.138, 1934, Feb Average, Brazil, BRA
227.852, 1934, Mar Average, Brazil, BRA
203.107, 1934, Apr Average, Brazil, BRA
135.987, 1934, May Average, Brazil, BRA
80.6763, 1934, Jun Average, Brazil, BRA
53.6511, 1934, Jul Average, Brazil, BRA
55.4441, 1934, Aug Average, Brazil, BRA
76.8592, 1934, Sep Average, Brazil, BRA
129.84, 1934, Oct Average, Brazil, BRA
151.63, 1934, Nov Average, Brazil, BRA
228.81, 1934, Dec Average, Brazil, BRA
231.471, 1935, Jan Average, Brazil, BRA
208.347, 1935, Feb Average, Brazil, BRA
258.749, 1935, Mar Average, Brazil, BRA
199.855, 1935, Apr Average, Brazil, BRA
147.077, 1935, May Average, Brazil, BRA
82.8121, 1935, Jun Average, Brazil, BRA
55.9246, 1935, Jul Average, Brazil, BRA
57.8654, 1935, Aug Average, Brazil, BRA
72.2207, 1935, Sep Average, Brazil, BRA
116.51, 1935, Oct Average, Brazil, BRA
151.553, 1935, Nov Average, Brazil, BRA
188.576, 1935, Dec Average, Brazil, BRA
202.191, 1936, Jan Average, Brazil, BRA
261.048, 1936, Feb Average, Brazil, BRA
189.088, 1936, Mar Average, Brazil, BRA
168.976, 1936, Apr Average, Brazil, BRA
102.477, 1936, May Average, Brazil, BRA
64.5433, 1936, Jun Average, Brazil, BRA
48.5017, 1936, Jul Average, Brazil, BRA
49.2195, 1936, Aug Average, Brazil, BRA
69.6448, 1936, Sep Average, Brazil, BRA
113.462, 1936, Oct Average, Brazil, BRA
146.342, 1936, Nov Average, Brazil, BRA
182.904, 1936, Dec Average, Brazil, BRA
223.603, 1937, Jan Average, Brazil, BRA
203.879, 1937, Feb Average, Brazil, BRA
237.796, 1937, Mar Average, Brazil, BRA
197.878, 1937, Apr Average, Brazil, BRA
153.211, 1937, May Average, Brazil, BRA
80.538, 1937, Jun Average, Brazil, BRA
55.3746, 1937, Jul Average, Brazil, BRA
50.4485, 1937, Aug Average, Brazil, BRA
70.8892, 1937, Sep Average, Brazil, BRA
134.179, 1937, Oct Average, Brazil, BRA
149.741, 1937, Nov Average, Brazil, BRA
209.402, 1937, Dec Average, Brazil, BRA
213.008, 1938, Jan Average, Brazil, BRA
203.834, 1938, Feb Average, Brazil, BRA
211.132, 1938, Mar Average, Brazil, BRA
175.31, 1938, Apr Average, Brazil, BRA
125.902, 1938, May Average, Brazil, BRA
77.7161, 1938, Jun Average, Brazil, BRA
58.1984, 1938, Jul Average, Brazil, BRA
50.8804, 1938, Aug Average, Brazil, BRA
62.7858, 1938, Sep Average, Brazil, BRA
124.444, 1938, Oct Average, Brazil, BRA
142.897, 1938, Nov Average, Brazil, BRA
201.886, 1938, Dec Average, Brazil, BRA
210.883, 1939, Jan Average, Brazil, BRA
212.358, 1939, Feb Average, Brazil, BRA
229.563, 1939, Mar Average, Brazil, BRA
180.216, 1939, Apr Average, Brazil, BRA
131.553, 1939, May Average, Brazil, BRA
77.9529, 1939, Jun Average, Brazil, BRA
81.2306, 1939, Jul Average, Brazil, BRA
58.4966, 1939, Aug Average, Brazil, BRA
82.7779, 1939, Sep Average, Brazil, BRA
106.457, 1939, Oct Average, Brazil, BRA
159.921, 1939, Nov Average, Brazil, BRA
178.018, 1939, Dec Average, Brazil, BRA
243.57, 1940, Jan Average, Brazil, BRA
224.598, 1940, Feb Average, Brazil, BRA
249.438, 1940, Mar Average, Brazil, BRA
168.912, 1940, Apr Average, Brazil, BRA
141.351, 1940, May Average, Brazil, BRA
84.3487, 1940, Jun Average, Brazil, BRA
58.9415, 1940, Jul Average, Brazil, BRA
64.373, 1940, Aug Average, Brazil, BRA
82.6255, 1940, Sep Average, Brazil, BRA
111.872, 1940, Oct Average, Brazil, BRA
153.697, 1940, Nov Average, Brazil, BRA
180.925, 1940, Dec Average, Brazil, BRA
196.262, 1941, Jan Average, Brazil, BRA
219.692, 1941, Feb Average, Brazil, BRA
260.703, 1941, Mar Average, Brazil, BRA
157.175, 1941, Apr Average, Brazil, BRA
90.7142, 1941, May Average, Brazil, BRA
74.119, 1941, Jun Average, Brazil, BRA
59.6815, 1941, Jul Average, Brazil, BRA
59.1404, 1941, Aug Average, Brazil, BRA
82.1954, 1941, Sep Average, Brazil, BRA
124.126, 1941, Oct Average, Brazil, BRA
161.015, 1941, Nov Average, Brazil, BRA
178.336, 1941, Dec Average, Brazil, BRA
194.317, 1942, Jan Average, Brazil, BRA
222.985, 1942, Feb Average, Brazil, BRA
216.729, 1942, Mar Average, Brazil, BRA
167.7, 1942, Apr Average, Brazil, BRA
115.938, 1942, May Average, Brazil, BRA
82.9691, 1942, Jun Average, Brazil, BRA
48.605, 1942, Jul Average, Brazil, BRA
47.8696, 1942, Aug Average, Brazil, BRA
96.7486, 1942, Sep Average, Brazil, BRA
129.554, 1942, Oct Average, Brazil, BRA
154.312, 1942, Nov Average, Brazil, BRA
198.464, 1942, Dec Average, Brazil, BRA
249.262, 1943, Jan Average, Brazil, BRA
184.131, 1943, Feb Average, Brazil, BRA
257.431, 1943, Mar Average, Brazil, BRA
173.905, 1943, Apr Average, Brazil, BRA
106.003, 1943, May Average, Brazil, BRA
78.5059, 1943, Jun Average, Brazil, BRA
57.3821, 1943, Jul Average, Brazil, BRA
47.2614, 1943, Aug Average, Brazil, BRA
62.7244, 1943, Sep Average, Brazil, BRA
125.417, 1943, Oct Average, Brazil, BRA
180.229, 1943, Nov Average, Brazil, BRA
219.548, 1943, Dec Average, Brazil, BRA
196.443, 1944, Jan Average, Brazil, BRA
219.391, 1944, Feb Average, Brazil, BRA
217.574, 1944, Mar Average, Brazil, BRA
190.953, 1944, Apr Average, Brazil, BRA
110.351, 1944, May Average, Brazil, BRA
74.187, 1944, Jun Average, Brazil, BRA
54.0801, 1944, Jul Average, Brazil, BRA
43.8799, 1944, Aug Average, Brazil, BRA
75.2933, 1944, Sep Average, Brazil, BRA
120.979, 1944, Oct Average, Brazil, BRA
161.238, 1944, Nov Average, Brazil, BRA
230.837, 1944, Dec Average, Brazil, BRA
237.489, 1945, Jan Average, Brazil, BRA
242.512, 1945, Feb Average, Brazil, BRA
263.581, 1945, Mar Average, Brazil, BRA
210.49, 1945, Apr Average, Brazil, BRA
144.792, 1945, May Average, Brazil, BRA
78.0549, 1945, Jun Average, Brazil, BRA
69.6551, 1945, Jul Average, Brazil, BRA
34.4251, 1945, Aug Average, Brazil, BRA
70.6683, 1945, Sep Average, Brazil, BRA
138.937, 1945, Oct Average, Brazil, BRA
178.155, 1945, Nov Average, Brazil, BRA
212.243, 1945, Dec Average, Brazil, BRA
216.593, 1946, Jan Average, Brazil, BRA
207.755, 1946, Feb Average, Brazil, BRA
219.199, 1946, Mar Average, Brazil, BRA
153.999, 1946, Apr Average, Brazil, BRA
143.491, 1946, May Average, Brazil, BRA
70.9007, 1946, Jun Average, Brazil, BRA
69.3626, 1946, Jul Average, Brazil, BRA
47.0965, 1946, Aug Average, Brazil, BRA
65.6559, 1946, Sep Average, Brazil, BRA
103.631, 1946, Oct Average, Brazil, BRA
182.094, 1946, Nov Average, Brazil, BRA
167.16, 1946, Dec Average, Brazil, BRA
233.344, 1947, Jan Average, Brazil, BRA
226.91, 1947, Feb Average, Brazil, BRA
275.505, 1947, Mar Average, Brazil, BRA
176.865, 1947, Apr Average, Brazil, BRA
131.795, 1947, May Average, Brazil, BRA
79.7461, 1947, Jun Average, Brazil, BRA
74.4361, 1947, Jul Average, Brazil, BRA
57.5451, 1947, Aug Average, Brazil, BRA
81.5016, 1947, Sep Average, Brazil, BRA
143.777, 1947, Oct Average, Brazil, BRA
205.502, 1947, Nov Average, Brazil, BRA
217.471, 1947, Dec Average, Brazil, BRA
215.418, 1948, Jan Average, Brazil, BRA
219.669, 1948, Feb Average, Brazil, BRA
277.732, 1948, Mar Average, Brazil, BRA
154.911, 1948, Apr Average, Brazil, BRA
114.41, 1948, May Average, Brazil, BRA
74.801, 1948, Jun Average, Brazil, BRA
62.6364, 1948, Jul Average, Brazil, BRA
42.7677, 1948, Aug Average, Brazil, BRA
77.6551, 1948, Sep Average, Brazil, BRA
120.967, 1948, Oct Average, Brazil, BRA
150.773, 1948, Nov Average, Brazil, BRA
260.924, 1948, Dec Average, Brazil, BRA
243.101, 1949, Jan Average, Brazil, BRA
212.185, 1949, Feb Average, Brazil, BRA
209.795, 1949, Mar Average, Brazil, BRA
202.825, 1949, Apr Average, Brazil, BRA
127.51, 1949, May Average, Brazil, BRA
87.3181, 1949, Jun Average, Brazil, BRA
66.5933, 1949, Jul Average, Brazil, BRA
60.2724, 1949, Aug Average, Brazil, BRA
67.4563, 1949, Sep Average, Brazil, BRA
129.061, 1949, Oct Average, Brazil, BRA
171.954, 1949, Nov Average, Brazil, BRA
180.436, 1949, Dec Average, Brazil, BRA
219.866, 1950, Jan Average, Brazil, BRA
217.944, 1950, Feb Average, Brazil, BRA
280.082, 1950, Mar Average, Brazil, BRA
201.857, 1950, Apr Average, Brazil, BRA
118.128, 1950, May Average, Brazil, BRA
76.4672, 1950, Jun Average, Brazil, BRA
70.7764, 1950, Jul Average, Brazil, BRA
41.3954, 1950, Aug Average, Brazil, BRA
50.3308, 1950, Sep Average, Brazil, BRA
123.601, 1950, Oct Average, Brazil, BRA
153.896, 1950, Nov Average, Brazil, BRA
217.488, 1950, Dec Average, Brazil, BRA
214.495, 1951, Jan Average, Brazil, BRA
168.112, 1951, Feb Average, Brazil, BRA
