lakeid,lakename,year4,daynum,sampledate,depth,temperature_C,dissolvedOxygen,irradianceWater,irradianceDeck,comments
T,Tuesday Lake,1984,150,5/29/84,10,3.9,0.1,NA,NA,NA
T,Tuesday Lake,1984,150,5/29/84,12,3.9,0.1,NA,NA,NA
L,Paul Lake,1984,155,6/3/84,0,18.8,8,1100,1050,NA
L,Paul Lake,1984,155,6/3/84,0.25,NA,NA,950,1050,NA
L,Paul Lake,1984,155,6/3/84,0.5,18.8,7.7,810,1050,NA
L,Paul Lake,1984,155,6/3/84,0.75,NA,NA,650,1050,NA
L,Paul Lake,1984,155,6/3/84,1,18.7,7.2,535,1050,NA
L,Paul Lake,1984,155,6/3/84,1.5,18.3,7.8,370,1050,NA
L,Paul Lake,1984,155,6/3/84,2,17,8.7,235,1050,NA
L,Paul Lake,1984,155,6/3/84,2.5,15.2,9.9,177,1050,NA
L,Paul Lake,1984,155,6/3/84,3,13,10.9,123,1050,NA
L,Paul Lake,1984,155,6/3/84,3.5,10.8,11.2,94,1050,NA
L,Paul Lake,1984,155,6/3/84,4,9,11.4,67.5,1050,NA
L,Paul Lake,1984,155,6/3/84,5,6.7,4.4,18,1050,NA
L,Paul Lake,1984,155,6/3/84,6,5.8,0.7,3,1050,NA
L,Paul Lake,1984,155,6/3/84,7,5,0.7,0.3,1050,NA
L,Paul Lake,1984,155,6/3/84,8,4.8,0.6,NA,NA,NA
L,Paul Lake,1984,155,6/3/84,10,4.7,0.6,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,0,18.8,9,275,275,NA
R,Peter Lake,1984,156,6/4/84,0.25,NA,NA,230,250,NA
R,Peter Lake,1984,156,6/4/84,0.5,18.8,8.9,175,220,NA
R,Peter Lake,1984,156,6/4/84,0.75,NA,NA,150,240,NA
R,Peter Lake,1984,156,6/4/84,1,18.8,8.8,114,205,NA
R,Peter Lake,1984,156,6/4/84,1.5,18.5,9.4,68,172,NA
R,Peter Lake,1984,156,6/4/84,2,18,10,53,187,NA
R,Peter Lake,1984,156,6/4/84,2.5,16,10.2,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,3,14.7,11.8,17.5,107,NA
R,Peter Lake,1984,156,6/4/84,3.5,11.9,12.2,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,4,10.1,12.2,8.7,103,NA
R,Peter Lake,1984,156,6/4/84,5,7.5,12.5,5.6,130,NA
R,Peter Lake,1984,156,6/4/84,6,6,10.5,2.8,149,NA
R,Peter Lake,1984,156,6/4/84,7,5,3.9,2.3,255,NA
R,Peter Lake,1984,156,6/4/84,8,4.4,0.8,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,10,4,0.7,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,12,4,0.7,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,14,4,0.6,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,0,21,8.4,1200,1200,NA
T,Tuesday Lake,1984,157,6/5/84,0.25,NA,NA,750,1200,NA
T,Tuesday Lake,1984,157,6/5/84,0.5,21,8.2,270,655,NA
T,Tuesday Lake,1984,157,6/5/84,0.75,NA,NA,210,1200,NA
T,Tuesday Lake,1984,157,6/5/84,1,20.2,8,150,1150,NA
T,Tuesday Lake,1984,157,6/5/84,1.5,16.9,9.7,78,1000,NA
T,Tuesday Lake,1984,157,6/5/84,2,12.4,10.9,22.9,840,NA
T,Tuesday Lake,1984,157,6/5/84,2.5,8.8,6,9.1,810,NA
T,Tuesday Lake,1984,157,6/5/84,3,7.1,5.2,3.1,740,NA
T,Tuesday Lake,1984,157,6/5/84,3.5,6,3.8,1.4,720,NA
T,Tuesday Lake,1984,157,6/5/84,4,5.7,3.1,0.7,760,NA
T,Tuesday Lake,1984,157,6/5/84,5,5,0.8,0.1,790,NA
T,Tuesday Lake,1984,157,6/5/84,6,4.6,0.7,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,8,4,0.7,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,10,3.9,0.7,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,12,3.9,0.6,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,14,3.9,0.6,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,16,3.9,0.6,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,0,19.6,8.5,1230,1160,NA
L,Paul Lake,1984,162,6/10/84,0.25,NA,NA,1070,1150,NA
L,Paul Lake,1984,162,6/10/84,0.5,19.6,8.1,865,1150,NA
L,Paul Lake,1984,162,6/10/84,0.75,NA,NA,695,1150,NA
L,Paul Lake,1984,162,6/10/84,1,19.6,8,530,1100,NA
L,Paul Lake,1984,162,6/10/84,1.5,19.4,7.8,320,1100,NA
L,Paul Lake,1984,162,6/10/84,2,19.2,7.7,210,1100,NA
L,Paul Lake,1984,162,6/10/84,2.5,16.8,9.3,140,1100,NA
L,Paul Lake,1984,162,6/10/84,3,14.4,10.6,98,1100,NA
L,Paul Lake,1984,162,6/10/84,3.5,12,11.4,70,1100,NA
L,Paul Lake,1984,162,6/10/84,4,10,11.4,46,1070,NA
L,Paul Lake,1984,162,6/10/84,5,7.3,6.5,16.8,1070,NA
L,Paul Lake,1984,162,6/10/84,6,6.2,0.9,3.2,1070,NA
L,Paul Lake,1984,162,6/10/84,7,5.2,0.8,0.3,1150,NA
L,Paul Lake,1984,162,6/10/84,8,4.9,0.7,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,9,4.8,0.7,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,10,4.8,0.7,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,0,19.8,8.9,145,168,NA
R,Peter Lake,1984,163,6/11/84,0.25,NA,NA,90,168,NA
R,Peter Lake,1984,163,6/11/84,0.5,19.9,8.7,72,129,NA
R,Peter Lake,1984,163,6/11/84,0.75,NA,NA,52,199,NA
R,Peter Lake,1984,163,6/11/84,1,19.9,8.8,55,165,NA
R,Peter Lake,1984,163,6/11/84,1.5,20,9.1,65,227,NA
R,Peter Lake,1984,163,6/11/84,2,19.9,8.8,51,245,NA
R,Peter Lake,1984,163,6/11/84,2.5,18.8,10,34,210,NA
R,Peter Lake,1984,163,6/11/84,3,15.9,12,22.2,178,NA
R,Peter Lake,1984,163,6/11/84,3.5,12.3,13.8,15.9,183,NA
R,Peter Lake,1984,163,6/11/84,4,11.3,12.8,11.5,166,NA
R,Peter Lake,1984,163,6/11/84,5,8,13.1,6.1,177,NA
R,Peter Lake,1984,163,6/11/84,6,5.9,8.6,2.5,150,NA
R,Peter Lake,1984,163,6/11/84,7,4.9,1.5,1,133,NA
R,Peter Lake,1984,163,6/11/84,8,4.6,0.9,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,9,4.1,0.8,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,10,4,0.7,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,12,4,0.7,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,0,20.4,8.9,490,525,NA
T,Tuesday Lake,1984,164,6/12/84,0.25,NA,NA,298,520,NA
T,Tuesday Lake,1984,164,6/12/84,0.5,20.4,8.2,178,495,NA
T,Tuesday Lake,1984,164,6/12/84,0.75,NA,NA,120,485,NA
T,Tuesday Lake,1984,164,6/12/84,1,20.1,8.4,81,480,NA
T,Tuesday Lake,1984,164,6/12/84,1.5,18.6,7.7,39,490,NA
T,Tuesday Lake,1984,164,6/12/84,2,14.4,9.3,16.3,500,NA
T,Tuesday Lake,1984,164,6/12/84,2.5,10,7.2,7.9,580,NA
T,Tuesday Lake,1984,164,6/12/84,3,8,5.4,3.4,585,NA
T,Tuesday Lake,1984,164,6/12/84,3.5,6.8,4.2,1.4,580,NA
T,Tuesday Lake,1984,164,6/12/84,4,5.9,4,0.6,560,NA
T,Tuesday Lake,1984,164,6/12/84,5,5,0.8,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,6,4.7,0.8,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,7,4.2,0.8,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,8,4,0.8,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,10,4,0.7,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,12,4,0.8,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,14,4,0.7,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,16,4,0.7,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,0,21,7.3,280,300,NA
L,Paul Lake,1984,169,6/17/84,0.25,NA,NA,320,450,NA
L,Paul Lake,1984,169,6/17/84,0.5,21,7.2,270,480,NA
L,Paul Lake,1984,169,6/17/84,0.75,NA,NA,210,440,NA
L,Paul Lake,1984,169,6/17/84,1,20.8,6.7,123,390,NA
L,Paul Lake,1984,169,6/17/84,1.5,20.5,6.3,88,380,NA
L,Paul Lake,1984,169,6/17/84,2,20.2,6.5,185,1400,NA
L,Paul Lake,1984,169,6/17/84,2.5,18.1,7.7,53,530,NA
L,Paul Lake,1984,169,6/17/84,3,15.7,8.5,38,540,NA
L,Paul Lake,1984,169,6/17/84,3.5,13,9,28,580,NA
L,Paul Lake,1984,169,6/17/84,4,10.7,9.6,41,1400,NA
L,Paul Lake,1984,169,6/17/84,5,7.8,4.8,16.8,1400,NA
L,Paul Lake,1984,169,6/17/84,6,6.5,1.1,2.8,1350,NA
L,Paul Lake,1984,169,6/17/84,7,5.4,0.8,0.1,400,NA
L,Paul Lake,1984,169,6/17/84,8,5,0.8,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,9,5,0.7,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,10,4.9,0.6,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,0,20.7,8.2,1410,1160,NA
R,Peter Lake,1984,170,6/18/84,0.25,NA,NA,1250,1160,NA
R,Peter Lake,1984,170,6/18/84,0.5,20.8,7.3,1050,1160,NA
R,Peter Lake,1984,170,6/18/84,0.75,NA,NA,810,1160,NA
R,Peter Lake,1984,170,6/18/84,1,20.8,6.8,700,1160,NA
R,Peter Lake,1984,170,6/18/84,1.5,20.8,6.8,480,1160,NA
R,Peter Lake,1984,170,6/18/84,2,20.5,6.9,340,1160,NA
R,Peter Lake,1984,170,6/18/84,2.5,19.9,7,240,1160,NA
R,Peter Lake,1984,170,6/18/84,3,17.9,8.9,160,1160,NA
R,Peter Lake,1984,170,6/18/84,3.5,14.6,9.6,110,1160,NA
R,Peter Lake,1984,170,6/18/84,4,12.5,9.7,77,1160,NA
R,Peter Lake,1984,170,6/18/84,5,8.7,9.9,34,1160,NA
R,Peter Lake,1984,170,6/18/84,6,6.4,8.5,14.5,1160,NA
R,Peter Lake,1984,170,6/18/84,7,5.2,1.2,6.3,1160,NA
R,Peter Lake,1984,170,6/18/84,8,4.7,0.5,2.9,1160,NA
R,Peter Lake,1984,170,6/18/84,9,NA,NA,1.4,1210,NA
R,Peter Lake,1984,170,6/18/84,10,4.1,0.5,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,12,4,0.5,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,14,4,0.5,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,16,4,0.4,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,0,21,6.5,451,450,NA
T,Tuesday Lake,1984,171,6/19/84,0.25,NA,NA,280,465,NA
T,Tuesday Lake,1984,171,6/19/84,0.5,21,6.3,207,490,NA
T,Tuesday Lake,1984,171,6/19/84,0.75,NA,NA,155,550,NA
T,Tuesday Lake,1984,171,6/19/84,1,21,6.3,113,660,NA
T,Tuesday Lake,1984,171,6/19/84,1.5,19,6.4,102,1160,NA
T,Tuesday Lake,1984,171,6/19/84,2,15.1,7.9,24,600,NA
T,Tuesday Lake,1984,171,6/19/84,2.5,11.7,5.4,10.5,640,NA
T,Tuesday Lake,1984,171,6/19/84,3,8,3.1,3.9,620,NA
T,Tuesday Lake,1984,171,6/19/84,3.5,6.7,2.1,1.5,540,NA
T,Tuesday Lake,1984,171,6/19/84,4,5.8,1.2,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,5,5,0.3,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,6,4.7,0.2,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,7,4.2,0.2,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,8,4,0.2,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,10,4,0.2,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,12,4,0.2,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,14,4,0.3,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,0,19.9,6.9,1270,1070,NA
L,Paul Lake,1984,176,6/24/84,0.25,NA,NA,1000,1070,NA
L,Paul Lake,1984,176,6/24/84,0.5,20,6.7,750,1070,NA
L,Paul Lake,1984,176,6/24/84,0.75,NA,NA,570,1070,NA
L,Paul Lake,1984,176,6/24/84,1,20,6.4,470,1070,NA
L,Paul Lake,1984,176,6/24/84,1.5,20,6.5,260,1070,NA
L,Paul Lake,1984,176,6/24/84,2,19.8,6.4,162,1070,NA
L,Paul Lake,1984,176,6/24/84,2.5,19.7,6.4,62,1080,NA
L,Paul Lake,1984,176,6/24/84,3,16.1,8.2,41,1080,NA
L,Paul Lake,1984,176,6/24/84,3.5,13.6,8.5,28.5,1080,NA
L,Paul Lake,1984,176,6/24/84,4,11.3,9.1,20.2,1080,NA
L,Paul Lake,1984,176,6/24/84,5,7,4.9,7.5,1080,NA
L,Paul Lake,1984,176,6/24/84,6,6.6,0.5,1.4,1080,NA
L,Paul Lake,1984,176,6/24/84,7,5.5,0.3,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,8,5.1,0.3,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,10,4.9,0.3,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,0,20.8,7.2,221,234,NA
R,Peter Lake,1984,177,6/25/84,0.25,NA,NA,171,234,NA
R,Peter Lake,1984,177,6/25/84,0.5,20.8,6.9,127,234,NA
R,Peter Lake,1984,177,6/25/84,0.75,NA,NA,140,300,NA
R,Peter Lake,1984,177,6/25/84,1,20.8,6.7,98,287,NA
R,Peter Lake,1984,177,6/25/84,1.5,20.8,6.8,81,300,NA
R,Peter Lake,1984,177,6/25/84,2,20.7,6.5,71,310,NA
R,Peter Lake,1984,177,6/25/84,2.5,20.5,6.5,56,300,NA
R,Peter Lake,1984,177,6/25/84,3,19.2,8.3,43.5,300,NA
R,Peter Lake,1984,177,6/25/84,3.5,16,9.2,33,300,NA
R,Peter Lake,1984,177,6/25/84,4,13.1,9.7,25.4,298,NA
R,Peter Lake,1984,177,6/25/84,5,9,10.1,11.5,280,NA
R,Peter Lake,1984,177,6/25/84,6,6.7,9.5,5.2,275,NA
R,Peter Lake,1984,177,6/25/84,7,5.3,1.9,2.2,276,NA
R,Peter Lake,1984,177,6/25/84,8,4.8,0.6,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,10,4.1,0.4,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,12,4,0.4,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,14,4,0.4,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,0,20.3,6.9,93,112,NA
T,Tuesday Lake,1984,178,6/26/84,0.25,NA,NA,66,128,NA
T,Tuesday Lake,1984,178,6/26/84,0.5,20.4,6.6,44,140,NA
T,Tuesday Lake,1984,178,6/26/84,0.75,NA,NA,32,160,NA
T,Tuesday Lake,1984,178,6/26/84,1,20.4,6.2,24.8,142,NA
T,Tuesday Lake,1984,178,6/26/84,1.5,20.2,6.4,12.6,160,NA
T,Tuesday Lake,1984,178,6/26/84,2,16.8,6.8,3.8,110,NA
T,Tuesday Lake,1984,178,6/26/84,2.5,12.3,5.8,2,130,NA
T,Tuesday Lake,1984,178,6/26/84,3,9,3.5,0.8,128,NA
T,Tuesday Lake,1984,178,6/26/84,3.5,7.5,2.4,0.4,132,NA
T,Tuesday Lake,1984,178,6/26/84,4,6.2,0.6,0.2,134,NA
T,Tuesday Lake,1984,178,6/26/84,5,5.1,0.4,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,6,4.7,0.4,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,8,4.1,0.3,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,10,4,0.4,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,12,4,0.5,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,14,4,0.5,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,0,22.8,6.2,660,650,NA
L,Paul Lake,1984,183,7/1/84,0.25,NA,NA,440,610,NA
L,Paul Lake,1984,183,7/1/84,0.5,22.9,6.1,310,580,NA
L,Paul Lake,1984,183,7/1/84,0.75,NA,NA,230,560,NA
L,Paul Lake,1984,183,7/1/84,1,22.8,5.9,190,560,NA
L,Paul Lake,1984,183,7/1/84,1.5,22.7,6.2,110,520,NA
L,Paul Lake,1984,183,7/1/84,2,21.7,6.1,74,500,NA
L,Paul Lake,1984,183,7/1/84,2.5,20.3,6.3,50,480,NA
L,Paul Lake,1984,183,7/1/84,3,18.2,7.6,36,470,NA
L,Paul Lake,1984,183,7/1/84,3.5,14.8,8.2,26,470,NA
L,Paul Lake,1984,183,7/1/84,4,12.3,8.6,18.5,470,NA
L,Paul Lake,1984,183,7/1/84,5,8.9,5.9,7.6,465,NA
L,Paul Lake,1984,183,7/1/84,6,6.9,0.6,1.4,470,NA
L,Paul Lake,1984,183,7/1/84,7,5.7,0.5,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,8,5.2,0.2,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,9,5,0.4,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,10,4.9,0.3,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,0,22.8,7.2,255,250,NA
R,Peter Lake,1984,184,7/2/84,0.25,NA,NA,196,250,NA
R,Peter Lake,1984,184,7/2/84,0.5,22.8,6.8,157,250,NA
R,Peter Lake,1984,184,7/2/84,0.75,NA,NA,124,250,NA
R,Peter Lake,1984,184,7/2/84,1,22.8,6.7,116,261,NA
R,Peter Lake,1984,184,7/2/84,1.5,22.8,6.2,87,261,NA
R,Peter Lake,1984,184,7/2/84,2,22.8,6.4,70,261,NA
R,Peter Lake,1984,184,7/2/84,2.5,21.9,6.6,54,227,NA
R,Peter Lake,1984,184,7/2/84,3,20.3,7.8,36,213,NA
R,Peter Lake,1984,184,7/2/84,3.5,17.5,9.8,26.5,205,NA
R,Peter Lake,1984,184,7/2/84,4,14.9,10,18.7,196,NA
R,Peter Lake,1984,184,7/2/84,5,10.3,9.9,9.7,194,NA
R,Peter Lake,1984,184,7/2/84,6,7.5,10,4.8,192,NA
R,Peter Lake,1984,184,7/2/84,7,5.6,1.4,2.1,192,NA
R,Peter Lake,1984,184,7/2/84,8,4.9,0.7,0.8,192,NA
R,Peter Lake,1984,184,7/2/84,9,NA,NA,0.3,192,NA
R,Peter Lake,1984,184,7/2/84,10,4.2,0.6,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,12,4.1,0.5,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,14,4,0.5,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,0,22.5,6.7,1170,1050,NA
T,Tuesday Lake,1984,185,7/3/84,0.25,NA,NA,780,1080,NA
T,Tuesday Lake,1984,185,7/3/84,0.5,22.5,6.5,480,1080,NA
T,Tuesday Lake,1984,185,7/3/84,0.75,NA,NA,320,1080,NA
T,Tuesday Lake,1984,185,7/3/84,1,22.5,6.6,200,1080,NA
T,Tuesday Lake,1984,185,7/3/84,1.5,21.4,6.6,97,1080,NA
T,Tuesday Lake,1984,185,7/3/84,2,17.5,5.9,40,1050,NA
T,Tuesday Lake,1984,185,7/3/84,2.5,12.9,5.1,14.8,1050,NA
T,Tuesday Lake,1984,185,7/3/84,3,9.4,3.2,5.8,1050,NA
T,Tuesday Lake,1984,185,7/3/84,3.5,7.6,1.7,2.4,1050,NA
T,Tuesday Lake,1984,185,7/3/84,4,6.2,0.4,1.3,1050,NA
T,Tuesday Lake,1984,185,7/3/84,4.5,NA,NA,0.7,1050,NA
T,Tuesday Lake,1984,185,7/3/84,5,5.1,0.3,0.4,1050,NA
T,Tuesday Lake,1984,185,7/3/84,6,4.7,0.3,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,7,4.3,0.3,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,8,4.1,0.3,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,10,4,0.3,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,12,4,0.4,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,14,4,0.4,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,0,20.1,6.4,1100,1050,NA
L,Paul Lake,1984,190,7/8/84,0.25,NA,NA,870,1090,NA
L,Paul Lake,1984,190,7/8/84,0.5,20.1,6.5,640,1090,NA
L,Paul Lake,1984,190,7/8/84,0.75,NA,NA,390,800,NA
L,Paul Lake,1984,190,7/8/84,1,20.1,6.4,275,710,NA
L,Paul Lake,1984,190,7/8/84,1.5,20.1,6.3,168,640,NA
L,Paul Lake,1984,190,7/8/84,2,20,6.3,105,630,NA
L,Paul Lake,1984,190,7/8/84,2.5,20,6.1,72,580,NA
L,Paul Lake,1984,190,7/8/84,3,18.7,6.7,47,560,NA
L,Paul Lake,1984,190,7/8/84,3.5,15.8,8.2,32,520,NA
L,Paul Lake,1984,190,7/8/84,4,13.2,8.4,24,500,NA
L,Paul Lake,1984,190,7/8/84,5,9.4,5.2,9.4,470,NA
L,Paul Lake,1984,190,7/8/84,6,7,0.6,1.6,450,NA
L,Paul Lake,1984,190,7/8/84,7,5.9,0.5,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,8,5.3,0.4,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,9,5,0.4,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,10,5,0.4,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,0,20.9,6.9,1140,970,NA
R,Peter Lake,1984,191,7/9/84,0.25,NA,NA,960,1050,NA
R,Peter Lake,1984,191,7/9/84,0.5,21,6.7,850,1050,NA
R,Peter Lake,1984,191,7/9/84,0.75,NA,NA,540,910,NA
R,Peter Lake,1984,191,7/9/84,1,21,6.9,440,840,NA
R,Peter Lake,1984,191,7/9/84,1.5,20.8,6.4,310,800,NA
R,Peter Lake,1984,191,7/9/84,2,20.6,6.5,205,700,NA
R,Peter Lake,1984,191,7/9/84,2.5,20.5,6.3,158,700,NA
R,Peter Lake,1984,191,7/9/84,3,20.4,6.5,121,710,NA
R,Peter Lake,1984,191,7/9/84,3.5,19.3,8,86,640,NA
R,Peter Lake,1984,191,7/9/84,4,15.8,9,59,600,NA
R,Peter Lake,1984,191,7/9/84,4.5,13.4,9.8,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,5,10.9,10,29,570,NA
R,Peter Lake,1984,191,7/9/84,6,7.7,8.7,15.7,560,NA
R,Peter Lake,1984,191,7/9/84,7,5.9,1.8,6.4,480,NA
R,Peter Lake,1984,191,7/9/84,7.5,NA,NA,8.8,1130,NA
R,Peter Lake,1984,191,7/9/84,8,5,0.7,2.6,470,NA
R,Peter Lake,1984,191,7/9/84,10,4.2,0.5,NA,NA,NA
