CAS Number,Chemical Name,Chemical Grade,Chemical Analysis Method,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Organism Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Author),Conc 1 (Author),Conc 1 Units (Author),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Young,NR,Hour(s),Food,Filter paper,Lab,11,Active ingredient,83,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hour(s) | Conc 1 (Author): Ê Active ingredient 56 - 120 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Adult,3,Day(s),Food,Filter paper,Lab,11,Active ingredient,900,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê NR - NR Day(s) | Conc 1 (Author): Ê Active ingredient 511 - 1586 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,>95,Spodoptera frugiperda,Fall Armyworm,Insects/Spiders,Larva,1,Instar,"Environmental, unspecified",Agar,Lab,>=4,Active ingredient,15.3,AI ppm,Growth,"Growth, general",IC50,Not reported,6,Day(s),"Ross,D.C., and T.M. Brown",90474,Inhibition of Larval Growth in Spodoptera frugiperda by Sublethal Dietary Concentrations of Insecticides,J. Agric. Food Chem.30(1): 193-196,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Instar | Conc 1 (Author): Ê Active ingredient NR - NR AI ppm | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,>95,Spodoptera frugiperda,Fall Armyworm,Insects/Spiders,Larva,1,Instar,"Environmental, unspecified",Agar,Lab,>=4,Active ingredient,20.4,AI ppm,Growth,"Growth, general",IC50,Not reported,11,Day(s),"Ross,D.C., and T.M. Brown",90474,Inhibition of Larval Growth in Spodoptera frugiperda by Sublethal Dietary Concentrations of Insecticides,J. Agric. Food Chem.30(1): 193-196,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Instar | Conc 1 (Author): Ê Active ingredient NR - NR AI ppm | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,>95,Spodoptera frugiperda,Fall Armyworm,Insects/Spiders,Larva,1,Instar,"Environmental, unspecified",Agar,Lab,2,Active ingredient,5,AI ppm,Growth,Weight,LOEL,Not reported,6,Day(s),"Ross,D.C., and T.M. Brown",90474,Inhibition of Larval Growth in Spodoptera frugiperda by Sublethal Dietary Concentrations of Insecticides,J. Agric. Food Chem.30(1): 193-196,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Instar | Conc 1 (Author): Ê Active ingredient NR - NR AI ppm | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,>95,Spodoptera frugiperda,Fall Armyworm,Insects/Spiders,Larva,1,Instar,"Environmental, unspecified",Agar,Lab,2,Active ingredient,5,AI ppm,Growth,Weight,LOEL,Not reported,12,Day(s),"Ross,D.C., and T.M. Brown",90474,Inhibition of Larval Growth in Spodoptera frugiperda by Sublethal Dietary Concentrations of Insecticides,J. Agric. Food Chem.30(1): 193-196,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Instar | Conc 1 (Author): Ê Active ingredient NR - NR AI ppm | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,>95,Spodoptera frugiperda,Fall Armyworm,Insects/Spiders,Larva,1,Instar,"Environmental, unspecified",Agar,Lab,NR,Active ingredient,NR,ppm,Mortality,Mortality,NR,Not reported,NR,Day(s),"Ross,D.C., and T.M. Brown",90474,Inhibition of Larval Growth in Spodoptera frugiperda by Sublethal Dietary Concentrations of Insecticides,J. Agric. Food Chem.30(1): 193-196,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Instar | Conc 1 (Author): Ê Active ingredient 10 - 20 ppm | Duration (Days): Ê 6 - 11 NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,>95,Spodoptera frugiperda,Fall Armyworm,Insects/Spiders,Larva,1,Instar,"Environmental, unspecified",Agar,Lab,NR,Active ingredient,~10,AI ppm,Mortality,Mortality,NR-ZERO,Not reported,NR,Day(s),"Ross,D.C., and T.M. Brown",90474,Inhibition of Larval Growth in Spodoptera frugiperda by Sublethal Dietary Concentrations of Insecticides,J. Agric. Food Chem.30(1): 193-196,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Instar | Conc 1 (Author): Ê Active ingredient NR - NR AI ppm | Duration (Days): Ê 6 - 11 NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,NR,Trichogramma chilonis,Parastic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,65.56,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Wang,Y., L. Chen, X. An, J. Jiang, Q. Wang, L. Cai, and X. Zhao",163186,Susceptibility to Selected Insecticides and Risk Assessment in the Insect Egg Parasitoid Trichogramma confusum (Hymenoptera: Trichogrammatidae),J. Econ. Entomol.106(1): 142-149,2013,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 52.54 - 85.10 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,NR,Trichogramma chilonis,Parastic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,635.4,AI mg/L,Mortality,Mortality,LC95,Not reported,1,Day(s),"Wang,Y., L. Chen, X. An, J. Jiang, Q. Wang, L. Cai, and X. Zhao",163186,Susceptibility to Selected Insecticides and Risk Assessment in the Insect Egg Parasitoid Trichogramma confusum (Hymenoptera: Trichogrammatidae),J. Econ. Entomol.106(1): 142-149,2013,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 378.9 - 1391 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,NR,Trichogramma evanescens,Parasitic Wasp,Insects/Spiders,Adult,NR,Not reported,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,239.1,AI mg/L,Mortality,Mortality,LC50,Not reported,1.0417,Day(s),"Wang,Y., C. Wu, T. Cang, L. Yang, W. Yu, X. Zhao, Q. Wang, and L. Cai",173922,Toxicity Risk of Insecticides to the Insect Egg Parasitoid Trichogramma evanescens Westwood (Hymenoptera: Trichogrammatidae),Pest Manag. Sci.70(3): 398-404,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient 185.6 - 336.4 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,NR,Trichogramma evanescens,Parasitic Wasp,Insects/Spiders,Adult,NR,Not reported,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,NR/,AI mg/L,Mortality,Mortality,LC95,Not reported,1.0417,Day(s),"Wang,Y., C. Wu, T. Cang, L. Yang, W. Yu, X. Zhao, Q. Wang, and L. Cai",173922,Toxicity Risk of Insecticides to the Insect Egg Parasitoid Trichogramma evanescens Westwood (Hymenoptera: Trichogrammatidae),Pest Manag. Sci.70(3): 398-404,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient >2500/ - <3000/ AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,95,Trichogramma japonicum,Parasitic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,80.66,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Zhao,X., C. Wu, Y. Wang, T. Cang, L. Chen, R. Yu, and Q. Wang",157945,"Assessment of Toxicity Risk of Insecticides Used in Rice Ecosystem on Trichogramma japonicum, an Egg Parasitoid of Rice Lepidopterans",J. Econ. Entomol.105(1): 92-101,2012,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 71.58 - 92.10 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,95,Trichogramma japonicum,Parasitic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,1075.7,AI mg/L,Mortality,Mortality,LC95,Not reported,1,Day(s),"Zhao,X., C. Wu, Y. Wang, T. Cang, L. Chen, R. Yu, and Q. Wang",157945,"Assessment of Toxicity Risk of Insecticides Used in Rice Ecosystem on Trichogramma japonicum, an Egg Parasitoid of Rice Lepidopterans",J. Econ. Entomol.105(1): 92-101,2012,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 783.0 - 1584.2 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,95,Trichogramma nubilale,Parasitic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,6,Active ingredient,75.27,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Wang,Y., R. Yu, X. Zhao, L. Chen, C. Wu, T. Cang, and Q. Wang",157988,Susceptibility of Adult Trichogramma nubilale (Hymenoptera: Trichogrammatidae) to Selected Insecticides with Different Modes of Action,Crop Prot.34:76-82,2012,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 67.86 - 84.37 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,95,Trichogramma nubilale,Parasitic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,6,Active ingredient,636.5,AI mg/L,Mortality,Mortality,LC95,Not reported,1,Day(s),"Wang,Y., R. Yu, X. Zhao, L. Chen, C. Wu, T. Cang, and Q. Wang",157988,Susceptibility of Adult Trichogramma nubilale (Hymenoptera: Trichogrammatidae) to Selected Insecticides with Different Modes of Action,Crop Prot.34:76-82,2012,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 493.2 - 865.2 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,95,Trichogramma ostriniae,Parasitic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,183.4,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Wang,Y., L. Chen, R. Yu, X. Zhao, C. Wu, T. Cang, and Q. Wang",163185,Insecticide Toxic Effects on Trichogramma ostriniae (Hymenoptera: Trichogrammatidae),Pest Manag. Sci.68(12): 1564-1571,2012,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 164.1 - 208.4 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
105843365,"1-[(2-Chloro-5-thiazolyl)methyl]-4,5-dihydro-N-nitro-1H-imidazol-2-amine","Technical grade, technical product, technical formulation",Unmeasured,95,Trichogramma ostriniae,Parasitic Wasp,Insects/Spiders,Adult,NR,Hours post-emergence,"Environmental, unspecified",No substrate,Lab,7,Active ingredient,1267.9,AI mg/L,Mortality,Mortality,LC95,Not reported,1,Day(s),"Wang,Y., L. Chen, R. Yu, X. Zhao, C. Wu, T. Cang, and Q. Wang",163185,Insecticide Toxic Effects on Trichogramma ostriniae (Hymenoptera: Trichogrammatidae),Pest Manag. Sci.68(12): 1564-1571,2012,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hours post-emergence | Conc 1 (Author): Ê Active ingredient 972.4 - 1752.2 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
111988499,[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide,Not reported,Unmeasured,21.7,Aleurodicus dispersus,Spiralling Whitefly,Insects/Spiders,Not reported,NR,Not reported,Hand spray,No substrate,Field natural,2,Active ingredient,144.0/,AI ml/ha,Population,Abundance,LOEL,Not reported,15,Day(s),"Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu",175406,"Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions",Crop Prot.94:137-143,2017,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ AI ml/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
111988499,[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide,Not reported,Unmeasured,21.7,Aleurodicus dispersus,Spiralling Whitefly,Insects/Spiders,Not reported,NR,Not reported,Hand spray,No substrate,Field natural,2,Active ingredient,144.0/,AI ml/ha,Population,Abundance,LOEL,Not reported,15,Day(s),"Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu",175406,"Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions",Crop Prot.94:137-143,2017,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ AI ml/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
111988499,[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide,"Technical grade, technical product, technical formulation",Unmeasured,98.4,Anopheles stephensi,Mosquito,Insects/Spiders,Adult,3,Day(s),"Topical, general",No substrate,Lab,NR,Active ingredient,0.295,ng/mg bdwt,Mortality,Mortality,LC50,Not reported,1,Day(s),"Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju",173152,Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains,Indian J. Med. Res.142:64-70,2015,Purity: Ê NR - NR | Organism Age: Ê NR - NR Day(s) | Conc 1 (Author): Ê Active ingredient NR - NR ng/mg bdwt | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
