STATION,NAME,DATE,AWND
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-08,2.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-09,2.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-10,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-11,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-12,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-01,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-02,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-03,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-04,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-05,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-06,2.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-07,2.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-08,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-09,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-10,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-11,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1996-12,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-01,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-02,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-03,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-04,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-05,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-06,2.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-07,2.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-08,2.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-09,2.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-10,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-11,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1997-12,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-01,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-02,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-03,5.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-04,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-05,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-06,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-07,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-08,2.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-09,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-10,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-11,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1998-12,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-01,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-02,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-03,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-04,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-05,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-06,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-07,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-08,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-09,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-10,2.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-11,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1999-12,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-01,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-02,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-03,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-04,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-05,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-06,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-07,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-08,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-09,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-10,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-11,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2000-12,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-01,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-02,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-03,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-04,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-05,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-06,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-07,2.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-08,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-09,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-10,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-11,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2001-12,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-01,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-02,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-03,5.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-04,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-05,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-06,3.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-07,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-08,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-09,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-10,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-11,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2002-12,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-01,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-02,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-03,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-04,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-05,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-06,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-07,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-08,2.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-09,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-10,2.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-11,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2003-12,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-01,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-02,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-03,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-04,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-05,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-06,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-07,2.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-08,2.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-09,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-10,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-11,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2004-12,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-01,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-02,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-03,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-04,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-05,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-06,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-07,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-08,2.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-09,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-10,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-11,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2005-12,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-01,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-02,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-03,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-04,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-05,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-06,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-07,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-08,2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-09,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-10,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-11,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2006-12,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-01,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-02,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-03,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-04,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-05,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-06,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-07,2.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-08,2.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-09,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-10,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-11,3.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2007-12,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-01,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-02,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-03,5.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-04,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-05,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-06,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-07,2.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-08,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-09,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-10,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-11,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2008-12,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2009-01,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2009-02,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2009-03,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2009-04,5.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",2009-05,3.7
