"agency_cd","site_no","datetime","discharge.max","discharge.max.approval","discharge.min","discharge.min.approval","discharge.mean","discharge.mean.approval","gage.height.max","gage.height.max.approval","gage.height.min","gage.height.min.approval","gage.height.mean","gage.height.mean.approval"
"USGS",2085000,1928-01-14,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-15,NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-16,NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-17,NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-18,NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-19,NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-20,NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-21,NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-22,NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-23,NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-24,NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-25,NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-26,NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-27,NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-28,NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-29,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-30,NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-31,NA,"",NA,"",221,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-01,NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-02,NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-03,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-04,NA,"",NA,"",46,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-05,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-06,NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-07,NA,"",NA,"",60,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-08,NA,"",NA,"",562,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-09,NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-10,NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-11,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-12,NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-13,NA,"",NA,"",96,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-14,NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-15,NA,"",NA,"",263,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-16,NA,"",NA,"",140,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-17,NA,"",NA,"",67,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-18,NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-19,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-20,NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-21,NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-22,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-23,NA,"",NA,"",108,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-24,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-25,NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-26,NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-27,NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-28,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-02-29,NA,"",NA,"",45,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-01,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-02,NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-03,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-04,NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-05,NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-06,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-07,NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-08,NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-09,NA,"",NA,"",118,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-10,NA,"",NA,"",66,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-11,NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-12,NA,"",NA,"",91,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-13,NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-14,NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-15,NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-16,NA,"",NA,"",66,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-17,NA,"",NA,"",124,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-18,NA,"",NA,"",563,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-19,NA,"",NA,"",146,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-20,NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-21,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-22,NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-23,NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-24,NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-25,NA,"",NA,"",68,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-26,NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-27,NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-28,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-29,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-30,NA,"",NA,"",42,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-03-31,NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-01,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-02,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-03,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-04,NA,"",NA,"",35,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-05,NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-06,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-07,NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-08,NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-09,NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-10,NA,"",NA,"",124,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-11,NA,"",NA,"",574,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-12,NA,"",NA,"",277,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-13,NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-14,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-15,NA,"",NA,"",170,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-16,NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-17,NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-18,NA,"",NA,"",64,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-19,NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-20,NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-21,NA,"",NA,"",65,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-22,NA,"",NA,"",130,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-23,NA,"",NA,"",113,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-24,NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-25,NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-26,NA,"",NA,"",67,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-27,NA,"",NA,"",664,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-28,NA,"",NA,"",1520,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-29,NA,"",NA,"",208,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-04-30,NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-01,NA,"",NA,"",130,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-02,NA,"",NA,"",102,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-03,NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-04,NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-05,NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-06,NA,"",NA,"",52,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-07,NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-08,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-09,NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-10,NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-11,NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-12,NA,"",NA,"",46,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-13,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-14,NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-15,NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-16,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-17,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-18,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-19,NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-20,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-21,NA,"",NA,"",52,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-22,NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-23,NA,"",NA,"",36,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-24,NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-25,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-26,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-27,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-28,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-29,NA,"",NA,"",33,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-30,NA,"",NA,"",31,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-05-31,NA,"",NA,"",30,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-01,NA,"",NA,"",28,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-02,NA,"",NA,"",26,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-03,NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-04,NA,"",NA,"",353,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-05,NA,"",NA,"",517,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-06,NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-07,NA,"",NA,"",91,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-08,NA,"",NA,"",55,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-09,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-10,NA,"",NA,"",34,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-11,NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-12,NA,"",NA,"",38,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-13,NA,"",NA,"",35,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-14,NA,"",NA,"",32,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-15,NA,"",NA,"",29,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-16,NA,"",NA,"",27,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-17,NA,"",NA,"",25,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-18,NA,"",NA,"",24,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-19,NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-20,NA,"",NA,"",20,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-21,NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-22,NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-23,NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-24,NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-25,NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-26,NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-27,NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-28,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-29,NA,"",NA,"",28,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-06-30,NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-01,NA,"",NA,"",20,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-02,NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-03,NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-04,NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-05,NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-06,NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-07,NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-08,NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-09,NA,"",NA,"",9.8,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-10,NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-11,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-12,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-13,NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-14,NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-15,NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-16,NA,"",NA,"",16,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-17,NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-18,NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-19,NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-20,NA,"",NA,"",10,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-21,NA,"",NA,"",9.4,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-22,NA,"",NA,"",8.7,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-23,NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-24,NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-07-25,NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
