"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-04-11,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-12,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-13,77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-14,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-15,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-16,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-17,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-18,84,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-19,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-20,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-21,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-22,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-23,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-24,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-25,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-26,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-27,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-28,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-29,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-04-30,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-01,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-02,87,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-03,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-04,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-05,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-06,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-07,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-08,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-09,67,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-10,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-11,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-12,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-13,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-14,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-15,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-16,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-18,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-19,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-20,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-21,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-22,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-23,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-24,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-25,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-26,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-27,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-28,19,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-29,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-30,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-05-31,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-01,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-02,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-03,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-04,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-05,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-06,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-07,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-08,77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-09,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-10,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-11,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-12,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-13,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-14,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-15,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-16,100,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-17,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-18,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-19,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-20,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-21,22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-22,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-23,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-24,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-25,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-26,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-27,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-28,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-29,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-06-30,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-01,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-02,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-03,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-04,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-05,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-06,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-07,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-09,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-10,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-11,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-12,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-13,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-14,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-15,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-16,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-18,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-19,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-20,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-21,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-22,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-23,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-24,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-25,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-26,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-27,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-28,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-29,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-30,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-07-31,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-01,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-02,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-03,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-04,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-05,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-06,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-07,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-08,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-09,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-10,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-11,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-12,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-13,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-14,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-15,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-16,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-17,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-18,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-19,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-20,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-21,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-22,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-23,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-24,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-25,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-26,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-27,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-28,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-29,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-30,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-08-31,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-01,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-02,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-03,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-04,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-05,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-06,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-07,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-08,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-09,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-20,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-21,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-22,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-23,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-24,18,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-25,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-26,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-27,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-28,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-29,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-09-30,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-01,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-02,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-03,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-04,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-05,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-06,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-07,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-08,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-09,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-10,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-11,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-12,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-13,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-15,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-16,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-17,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-18,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-19,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-21,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-22,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-23,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-24,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-25,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-26,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-27,26,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-28,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-29,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-30,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-10-31,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2018-03-01,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-05,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-06,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-07,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-08,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-09,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-10,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-11,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-12,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-13,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-14,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-16,61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-17,50,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-18,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-19,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-20,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-21,36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-23,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-24,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-25,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-26,46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-27,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-28,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-29,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-03-30,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-01,46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-03,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-04,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-05,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-06,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-07,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-08,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-09,34,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-10,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-11,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-12,64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-13,84,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-14,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-15,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-17,64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-18,77,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-19,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-20,61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-21,74,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-22,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-23,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-24,40,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-25,40,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-26,39,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-27,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-28,67,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-29,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-04-30,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-01,80,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-02,87,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-03,84,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-04,49,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-05,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-06,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-07,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-08,51,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-09,67,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-10,61,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-11,80,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-12,64,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-13,58,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-14,50,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-15,36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-16,26,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-17,27,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-18,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-19,37,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-20,36,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-21,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-22,30,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-23,37,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-24,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-25,35,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-26,23,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-27,31,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-28,22,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-29,28,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-30,30,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-05-31,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-01,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-02,35,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-03,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-04,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-05,51,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-06,71,"Linville Falls","Ozone","Avery",35.972347,-81.933072
2018-06-07,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
