"lakename","year4","daynum","month","sampledate","depth","nutrient","concentration"
"Paul Lake",1991,154,6,1991-06-03,5.34,"nh34",35.662
"Paul Lake",1991,154,6,1991-06-03,5.34,"no23",6.965
"Paul Lake",1991,154,6,1991-06-03,5.34,"po4",3
"Paul Lake",1991,154,6,1991-06-03,8,"tn_ug",1107
"Paul Lake",1991,154,6,1991-06-03,8,"tp_ug",32
"Paul Lake",1991,154,6,1991-06-03,8,"nh34",375.547
"Paul Lake",1991,154,6,1991-06-03,8,"no23",11.143
"Paul Lake",1991,154,6,1991-06-03,8,"po4",14
"Peter Lake",1991,155,6,1991-06-04,0,"tn_ug",573
"Peter Lake",1991,155,6,1991-06-04,0,"tp_ug",5
"Peter Lake",1991,155,6,1991-06-04,0,"nh34",21.533
"Peter Lake",1991,155,6,1991-06-04,0,"no23",3.818
"Peter Lake",1991,155,6,1991-06-04,0,"po4",4
"Peter Lake",1991,155,6,1991-06-04,0.9,"tn_ug",436
"Peter Lake",1991,155,6,1991-06-04,0.9,"tp_ug",6
"Peter Lake",1991,155,6,1991-06-04,0.9,"nh34",26.292
"Peter Lake",1991,155,6,1991-06-04,0.9,"no23",2.938
"Peter Lake",1991,155,6,1991-06-04,0.9,"po4",7
"Peter Lake",1991,155,6,1991-06-04,1.75,"tn_ug",394
"Peter Lake",1991,155,6,1991-06-04,1.75,"tp_ug",7
"Peter Lake",1991,155,6,1991-06-04,1.75,"no23",3.037
"Peter Lake",1991,155,6,1991-06-04,1.75,"po4",5
"Peter Lake",1991,155,6,1991-06-04,3.2,"tn_ug",342
"Peter Lake",1991,155,6,1991-06-04,3.2,"tp_ug",6
"Peter Lake",1991,155,6,1991-06-04,3.2,"no23",2.225
"Peter Lake",1991,155,6,1991-06-04,3.2,"po4",6
"Peter Lake",1991,155,6,1991-06-04,4.25,"tn_ug",324
"Peter Lake",1991,155,6,1991-06-04,4.25,"tp_ug",5
"Peter Lake",1991,155,6,1991-06-04,4.25,"no23",5.554
"Peter Lake",1991,155,6,1991-06-04,4.25,"po4",6
"Peter Lake",1991,155,6,1991-06-04,6.75,"tn_ug",439
"Peter Lake",1991,155,6,1991-06-04,6.75,"tp_ug",16
"Peter Lake",1991,155,6,1991-06-04,6.75,"no23",2.355
"Peter Lake",1991,155,6,1991-06-04,6.75,"po4",7
"Peter Lake",1991,155,6,1991-06-04,12,"tn_ug",590
"Peter Lake",1991,155,6,1991-06-04,12,"tp_ug",19
"Peter Lake",1991,155,6,1991-06-04,12,"no23",3.065
"Peter Lake",1991,155,6,1991-06-04,12,"po4",8
"Paul Lake",1991,161,6,1991-06-10,0,"tn_ug",421
"Paul Lake",1991,161,6,1991-06-10,0,"tp_ug",11
"Paul Lake",1991,161,6,1991-06-10,0,"nh34",20.303
"Paul Lake",1991,161,6,1991-06-10,0,"no23",11.381
"Paul Lake",1991,161,6,1991-06-10,0,"po4",6
"Paul Lake",1991,161,6,1991-06-10,0.55,"tn_ug",352
"Paul Lake",1991,161,6,1991-06-10,0.55,"tp_ug",14
"Paul Lake",1991,161,6,1991-06-10,0.55,"nh34",19.789
"Paul Lake",1991,161,6,1991-06-10,0.55,"no23",10.959
"Paul Lake",1991,161,6,1991-06-10,0.55,"po4",4
"Paul Lake",1991,161,6,1991-06-10,1.3,"tn_ug",407
"Paul Lake",1991,161,6,1991-06-10,1.3,"tp_ug",11
"Paul Lake",1991,161,6,1991-06-10,1.3,"nh34",16.359
"Paul Lake",1991,161,6,1991-06-10,1.3,"no23",10.925
"Paul Lake",1991,161,6,1991-06-10,1.3,"po4",5
"Paul Lake",1991,161,6,1991-06-10,2.25,"tn_ug",299
"Paul Lake",1991,161,6,1991-06-10,2.25,"tp_ug",9
"Paul Lake",1991,161,6,1991-06-10,2.25,"nh34",16.193
"Paul Lake",1991,161,6,1991-06-10,2.25,"no23",8.341
"Paul Lake",1991,161,6,1991-06-10,2.25,"po4",1
"Paul Lake",1991,161,6,1991-06-10,3.4,"tn_ug",334
"Paul Lake",1991,161,6,1991-06-10,3.4,"tp_ug",11
"Paul Lake",1991,161,6,1991-06-10,3.4,"nh34",15.556
"Paul Lake",1991,161,6,1991-06-10,3.4,"no23",7.687
"Paul Lake",1991,161,6,1991-06-10,3.4,"po4",1
"Paul Lake",1991,161,6,1991-06-10,5.7,"tn_ug",434
"Paul Lake",1991,161,6,1991-06-10,5.7,"tp_ug",21
"Paul Lake",1991,161,6,1991-06-10,5.7,"nh34",16.481
"Paul Lake",1991,161,6,1991-06-10,5.7,"no23",9.866
"Paul Lake",1991,161,6,1991-06-10,5.7,"po4",4
"Paul Lake",1991,161,6,1991-06-10,8,"tn_ug",1271
"Paul Lake",1991,161,6,1991-06-10,8,"tp_ug",45
"Paul Lake",1991,161,6,1991-06-10,8,"nh34",623.114
"Paul Lake",1991,161,6,1991-06-10,8,"no23",10.82
"Paul Lake",1991,161,6,1991-06-10,8,"po4",12
"Peter Lake",1991,162,6,1991-06-11,0,"tn_ug",296
"Peter Lake",1991,162,6,1991-06-11,0,"tp_ug",9
"Peter Lake",1991,162,6,1991-06-11,0,"nh34",14.579
"Peter Lake",1991,162,6,1991-06-11,0,"no23",6.827
"Peter Lake",1991,162,6,1991-06-11,0,"po4",4
"Peter Lake",1991,162,6,1991-06-11,1.25,"tn_ug",291
"Peter Lake",1991,162,6,1991-06-11,1.25,"tp_ug",9
"Peter Lake",1991,162,6,1991-06-11,1.25,"nh34",25.548
"Peter Lake",1991,162,6,1991-06-11,1.25,"no23",6.995
"Peter Lake",1991,162,6,1991-06-11,1.25,"po4",9
"Peter Lake",1991,162,6,1991-06-11,2.6,"tn_ug",308
"Peter Lake",1991,162,6,1991-06-11,2.6,"tp_ug",8
"Peter Lake",1991,162,6,1991-06-11,2.6,"nh34",17.633
"Peter Lake",1991,162,6,1991-06-11,2.6,"no23",6.347
"Peter Lake",1991,162,6,1991-06-11,2.6,"po4",5
"Peter Lake",1991,162,6,1991-06-11,4.1,"tn_ug",324
"Peter Lake",1991,162,6,1991-06-11,4.1,"tp_ug",12
"Peter Lake",1991,162,6,1991-06-11,4.1,"nh34",23.58
"Peter Lake",1991,162,6,1991-06-11,4.1,"no23",7.371
"Peter Lake",1991,162,6,1991-06-11,4.1,"po4",8
"Peter Lake",1991,162,6,1991-06-11,5.4,"tn_ug",374
"Peter Lake",1991,162,6,1991-06-11,5.4,"tp_ug",16
"Peter Lake",1991,162,6,1991-06-11,5.4,"nh34",15.643
"Peter Lake",1991,162,6,1991-06-11,5.4,"no23",6.561
"Peter Lake",1991,162,6,1991-06-11,5.4,"po4",8
"Peter Lake",1991,162,6,1991-06-11,7.8,"tn_ug",376
"Peter Lake",1991,162,6,1991-06-11,7.8,"tp_ug",19
"Peter Lake",1991,162,6,1991-06-11,7.8,"nh34",20.372
"Peter Lake",1991,162,6,1991-06-11,7.8,"no23",7.1
"Peter Lake",1991,162,6,1991-06-11,7.8,"po4",11
"Peter Lake",1991,162,6,1991-06-11,12,"tn_ug",676
"Peter Lake",1991,162,6,1991-06-11,12,"tp_ug",31
"Peter Lake",1991,162,6,1991-06-11,12,"nh34",289.687
"Peter Lake",1991,162,6,1991-06-11,12,"no23",4.444
"Peter Lake",1991,162,6,1991-06-11,12,"po4",18
"Paul Lake",1991,168,6,1991-06-17,0,"tn_ug",474
"Paul Lake",1991,168,6,1991-06-17,0,"tp_ug",8
"Paul Lake",1991,168,6,1991-06-17,0,"nh34",6.441
"Paul Lake",1991,168,6,1991-06-17,0,"no23",2.375
"Paul Lake",1991,168,6,1991-06-17,0,"po4",5
"Paul Lake",1991,168,6,1991-06-17,0.65,"tn_ug",377
"Paul Lake",1991,168,6,1991-06-17,0.65,"tp_ug",10
"Paul Lake",1991,168,6,1991-06-17,0.65,"nh34",6.702
"Paul Lake",1991,168,6,1991-06-17,0.65,"no23",2.382
"Paul Lake",1991,168,6,1991-06-17,0.65,"po4",1
"Paul Lake",1991,168,6,1991-06-17,1.3,"tn_ug",411
"Paul Lake",1991,168,6,1991-06-17,1.3,"tp_ug",12
"Paul Lake",1991,168,6,1991-06-17,1.3,"nh34",8.1
"Paul Lake",1991,168,6,1991-06-17,1.3,"no23",2.379
"Paul Lake",1991,168,6,1991-06-17,1.3,"po4",2
"Paul Lake",1991,168,6,1991-06-17,2.4,"tn_ug",347
"Paul Lake",1991,168,6,1991-06-17,2.4,"tp_ug",12
"Paul Lake",1991,168,6,1991-06-17,2.4,"nh34",5.846
"Paul Lake",1991,168,6,1991-06-17,2.4,"no23",2.727
"Paul Lake",1991,168,6,1991-06-17,2.4,"po4",1
"Paul Lake",1991,168,6,1991-06-17,3.25,"tn_ug",359
"Paul Lake",1991,168,6,1991-06-17,3.25,"tp_ug",12
"Paul Lake",1991,168,6,1991-06-17,3.25,"nh34",8.68
"Paul Lake",1991,168,6,1991-06-17,3.25,"no23",3.221
"Paul Lake",1991,168,6,1991-06-17,3.25,"po4",5
"Paul Lake",1991,168,6,1991-06-17,5.4,"tn_ug",446
"Paul Lake",1991,168,6,1991-06-17,5.4,"tp_ug",20
"Paul Lake",1991,168,6,1991-06-17,5.4,"nh34",9.153
"Paul Lake",1991,168,6,1991-06-17,5.4,"no23",1.78
"Paul Lake",1991,168,6,1991-06-17,5.4,"po4",0
"Paul Lake",1991,168,6,1991-06-17,8,"tn_ug",1164
"Paul Lake",1991,168,6,1991-06-17,8,"tp_ug",39
"Paul Lake",1991,168,6,1991-06-17,8,"nh34",293.794
"Paul Lake",1991,168,6,1991-06-17,8,"no23",3.573
"Paul Lake",1991,168,6,1991-06-17,8,"po4",3
"Peter Lake",1991,169,6,1991-06-18,0,"tn_ug",321
"Peter Lake",1991,169,6,1991-06-18,0,"tp_ug",8
"Peter Lake",1991,169,6,1991-06-18,0,"nh34",5.749
"Peter Lake",1991,169,6,1991-06-18,0,"no23",2.429
"Peter Lake",1991,169,6,1991-06-18,0,"po4",4
"Peter Lake",1991,169,6,1991-06-18,1,"tn_ug",286
"Peter Lake",1991,169,6,1991-06-18,1,"tp_ug",10
"Peter Lake",1991,169,6,1991-06-18,1,"nh34",5.389
"Peter Lake",1991,169,6,1991-06-18,1,"no23",1.578
"Peter Lake",1991,169,6,1991-06-18,1,"po4",5
"Peter Lake",1991,169,6,1991-06-18,2,"tn_ug",295
"Peter Lake",1991,169,6,1991-06-18,2,"tp_ug",15
"Peter Lake",1991,169,6,1991-06-18,2,"nh34",5.143
"Peter Lake",1991,169,6,1991-06-18,2,"no23",1.432
"Peter Lake",1991,169,6,1991-06-18,2,"po4",5
"Peter Lake",1991,169,6,1991-06-18,3.8,"tn_ug",274
"Peter Lake",1991,169,6,1991-06-18,3.8,"tp_ug",7
"Peter Lake",1991,169,6,1991-06-18,3.8,"nh34",4.83
"Peter Lake",1991,169,6,1991-06-18,3.8,"no23",1.285
"Peter Lake",1991,169,6,1991-06-18,3.8,"po4",1
"Peter Lake",1991,169,6,1991-06-18,5.2,"tn_ug",269
"Peter Lake",1991,169,6,1991-06-18,5.2,"tp_ug",15
"Peter Lake",1991,169,6,1991-06-18,5.2,"nh34",5.548
"Peter Lake",1991,169,6,1991-06-18,5.2,"no23",1.679
"Peter Lake",1991,169,6,1991-06-18,5.2,"po4",2
"Peter Lake",1991,169,6,1991-06-18,7.6,"tn_ug",359
"Peter Lake",1991,169,6,1991-06-18,7.6,"tp_ug",19
"Peter Lake",1991,169,6,1991-06-18,7.6,"nh34",4.91
"Peter Lake",1991,169,6,1991-06-18,7.6,"no23",1.784
"Peter Lake",1991,169,6,1991-06-18,7.6,"po4",6
"Peter Lake",1991,169,6,1991-06-18,12,"tn_ug",626
"Peter Lake",1991,169,6,1991-06-18,12,"tp_ug",33
"Peter Lake",1991,169,6,1991-06-18,12,"nh34",147.204
"Peter Lake",1991,169,6,1991-06-18,12,"no23",1.981
"Peter Lake",1991,169,6,1991-06-18,12,"po4",4
"Paul Lake",1991,175,6,1991-06-24,0,"tn_ug",400
"Paul Lake",1991,175,6,1991-06-24,0,"tp_ug",9
"Paul Lake",1991,175,6,1991-06-24,0,"nh34",19.559
"Paul Lake",1991,175,6,1991-06-24,0,"no23",1.55
"Paul Lake",1991,175,6,1991-06-24,0,"po4",4
"Paul Lake",1991,175,6,1991-06-24,0.8,"tn_ug",495
"Paul Lake",1991,175,6,1991-06-24,0.8,"tp_ug",10
"Paul Lake",1991,175,6,1991-06-24,0.8,"nh34",10.671
"Paul Lake",1991,175,6,1991-06-24,0.8,"no23",1.785
"Paul Lake",1991,175,6,1991-06-24,0.8,"po4",3
"Paul Lake",1991,175,6,1991-06-24,1.5,"tn_ug",437
"Paul Lake",1991,175,6,1991-06-24,1.5,"tp_ug",11
"Paul Lake",1991,175,6,1991-06-24,1.5,"nh34",7.505
"Paul Lake",1991,175,6,1991-06-24,1.5,"no23",1.662
"Paul Lake",1991,175,6,1991-06-24,1.5,"po4",3
"Paul Lake",1991,175,6,1991-06-24,2.6,"tn_ug",368
"Paul Lake",1991,175,6,1991-06-24,2.6,"tp_ug",11
"Paul Lake",1991,175,6,1991-06-24,2.6,"nh34",8.203
"Paul Lake",1991,175,6,1991-06-24,2.6,"no23",1.021
"Paul Lake",1991,175,6,1991-06-24,2.6,"po4",3
"Paul Lake",1991,175,6,1991-06-24,3.6,"tn_ug",346
"Paul Lake",1991,175,6,1991-06-24,3.6,"tp_ug",12
"Paul Lake",1991,175,6,1991-06-24,3.6,"nh34",10.322
"Paul Lake",1991,175,6,1991-06-24,3.6,"no23",1.542
"Paul Lake",1991,175,6,1991-06-24,3.6,"po4",2
"Paul Lake",1991,175,6,1991-06-24,5.5,"tn_ug",458
"Paul Lake",1991,175,6,1991-06-24,5.5,"tp_ug",33
"Paul Lake",1991,175,6,1991-06-24,5.5,"nh34",12.335
"Paul Lake",1991,175,6,1991-06-24,5.5,"no23",1.948
"Paul Lake",1991,175,6,1991-06-24,5.5,"po4",4
"Paul Lake",1991,175,6,1991-06-24,8,"tn_ug",1287
"Paul Lake",1991,175,6,1991-06-24,8,"tp_ug",75
"Paul Lake",1991,175,6,1991-06-24,8,"nh34",595.08
"Paul Lake",1991,175,6,1991-06-24,8,"no23",2.517
"Paul Lake",1991,175,6,1991-06-24,8,"po4",12
"Peter Lake",1991,176,6,1991-06-25,0,"tn_ug",292
"Peter Lake",1991,176,6,1991-06-25,0,"tp_ug",4
"Peter Lake",1991,176,6,1991-06-25,0,"nh34",5.817
"Peter Lake",1991,176,6,1991-06-25,0,"no23",1.51
"Peter Lake",1991,176,6,1991-06-25,0,"po4",4
"Peter Lake",1991,176,6,1991-06-25,1,"tn_ug",304
"Peter Lake",1991,176,6,1991-06-25,1,"tp_ug",7
"Peter Lake",1991,176,6,1991-06-25,1,"nh34",8.633
"Peter Lake",1991,176,6,1991-06-25,1,"no23",1.267
"Peter Lake",1991,176,6,1991-06-25,1,"po4",3
"Peter Lake",1991,176,6,1991-06-25,1.9,"tn_ug",317
"Peter Lake",1991,176,6,1991-06-25,1.9,"tp_ug",6
"Peter Lake",1991,176,6,1991-06-25,1.9,"nh34",8.114
"Peter Lake",1991,176,6,1991-06-25,1.9,"no23",1.628
"Peter Lake",1991,176,6,1991-06-25,1.9,"po4",3
"Peter Lake",1991,176,6,1991-06-25,3.4,"tn_ug",312
"Peter Lake",1991,176,6,1991-06-25,3.4,"tp_ug",8
"Peter Lake",1991,176,6,1991-06-25,3.4,"nh34",6.502
"Peter Lake",1991,176,6,1991-06-25,3.4,"no23",1.868
"Peter Lake",1991,176,6,1991-06-25,3.4,"po4",3
"Peter Lake",1991,176,6,1991-06-25,4.7,"tn_ug",334
"Peter Lake",1991,176,6,1991-06-25,4.7,"tp_ug",11
"Peter Lake",1991,176,6,1991-06-25,4.7,"nh34",7.391
"Peter Lake",1991,176,6,1991-06-25,4.7,"no23",1.588
"Peter Lake",1991,176,6,1991-06-25,4.7,"po4",3
"Peter Lake",1991,176,6,1991-06-25,7.4,"tn_ug",336
"Peter Lake",1991,176,6,1991-06-25,7.4,"tp_ug",17
"Peter Lake",1991,176,6,1991-06-25,7.4,"nh34",9.925
"Peter Lake",1991,176,6,1991-06-25,7.4,"no23",1.587
"Peter Lake",1991,176,6,1991-06-25,7.4,"po4",4
"Peter Lake",1991,176,6,1991-06-25,12,"tn_ug",593
"Peter Lake",1991,176,6,1991-06-25,12,"tp_ug",25
"Peter Lake",1991,176,6,1991-06-25,12,"nh34",178.713
"Peter Lake",1991,176,6,1991-06-25,12,"no23",1.548
"Peter Lake",1991,176,6,1991-06-25,12,"po4",6
"Paul Lake",1991,182,7,1991-07-01,0,"tn_ug",506
"Paul Lake",1991,182,7,1991-07-01,0,"tp_ug",9
"Paul Lake",1991,182,7,1991-07-01,0,"nh34",21.958
"Paul Lake",1991,182,7,1991-07-01,0,"no23",11.954
"Paul Lake",1991,182,7,1991-07-01,0,"po4",7
"Paul Lake",1991,182,7,1991-07-01,0.8,"tn_ug",560
"Paul Lake",1991,182,7,1991-07-01,0.8,"tp_ug",12
"Paul Lake",1991,182,7,1991-07-01,0.8,"nh34",22.046
"Paul Lake",1991,182,7,1991-07-01,0.8,"no23",10.833
"Paul Lake",1991,182,7,1991-07-01,0.8,"po4",2
"Paul Lake",1991,182,7,1991-07-01,1.6,"tn_ug",503
"Paul Lake",1991,182,7,1991-07-01,1.6,"tp_ug",12
"Paul Lake",1991,182,7,1991-07-01,1.6,"nh34",25.922
"Paul Lake",1991,182,7,1991-07-01,1.6,"no23",11.346
"Paul Lake",1991,182,7,1991-07-01,1.6,"po4",8
"Paul Lake",1991,182,7,1991-07-01,2.5,"tn_ug",504
"Paul Lake",1991,182,7,1991-07-01,2.5,"tp_ug",13
"Paul Lake",1991,182,7,1991-07-01,2.5,"nh34",21.183
"Paul Lake",1991,182,7,1991-07-01,2.5,"no23",8.509
"Paul Lake",1991,182,7,1991-07-01,2.5,"po4",6
"Paul Lake",1991,182,7,1991-07-01,3.8,"tn_ug",398
"Paul Lake",1991,182,7,1991-07-01,3.8,"tp_ug",12
"Paul Lake",1991,182,7,1991-07-01,3.8,"nh34",12.291
"Paul Lake",1991,182,7,1991-07-01,3.8,"no23",4.733
"Paul Lake",1991,182,7,1991-07-01,3.8,"po4",5
"Paul Lake",1991,182,7,1991-07-01,5.7,"tn_ug",535
"Paul Lake",1991,182,7,1991-07-01,5.7,"tp_ug",39
"Paul Lake",1991,182,7,1991-07-01,5.7,"nh34",12.697
"Paul Lake",1991,182,7,1991-07-01,5.7,"no23",2.337
"Paul Lake",1991,182,7,1991-07-01,5.7,"po4",9
"Paul Lake",1991,182,7,1991-07-01,8,"tn_ug",1033
"Paul Lake",1991,182,7,1991-07-01,8,"tp_ug",44
"Paul Lake",1991,182,7,1991-07-01,8,"nh34",370.188
"Paul Lake",1991,182,7,1991-07-01,8,"no23",4.726
"Paul Lake",1991,182,7,1991-07-01,8,"po4",5
"Peter Lake",1991,183,7,1991-07-02,0,"tn_ug",346
"Peter Lake",1991,183,7,1991-07-02,0,"tp_ug",10
"Peter Lake",1991,183,7,1991-07-02,0,"nh34",12.448
"Peter Lake",1991,183,7,1991-07-02,0,"no23",2.742
"Peter Lake",1991,183,7,1991-07-02,0,"po4",7
"Peter Lake",1991,183,7,1991-07-02,0.8,"tn_ug",352
"Peter Lake",1991,183,7,1991-07-02,0.8,"tp_ug",9
"Peter Lake",1991,183,7,1991-07-02,0.8,"nh34",5.674
"Peter Lake",1991,183,7,1991-07-02,0.8,"no23",2.084
"Peter Lake",1991,183,7,1991-07-02,0.8,"po4",9
"Peter Lake",1991,183,7,1991-07-02,1.75,"tn_ug",395
"Peter Lake",1991,183,7,1991-07-02,1.75,"tp_ug",10
"Peter Lake",1991,183,7,1991-07-02,1.75,"nh34",7.049
"Peter Lake",1991,183,7,1991-07-02,1.75,"no23",2.131
"Peter Lake",1991,183,7,1991-07-02,1.75,"po4",5
"Peter Lake",1991,183,7,1991-07-02,3.4,"tn_ug",298
"Peter Lake",1991,183,7,1991-07-02,3.4,"tp_ug",14
"Peter Lake",1991,183,7,1991-07-02,3.4,"nh34",7.132
"Peter Lake",1991,183,7,1991-07-02,3.4,"no23",2.489
"Peter Lake",1991,183,7,1991-07-02,3.4,"po4",1
"Peter Lake",1991,183,7,1991-07-02,4.5,"tn_ug",300
