"lakeid","lakename","year4","daynum","sampledate","depth_id","depth","tn_ug","tp_ug","nh34","no23","po4","comments"
"L","Paul Lake",1991,168,1991-06-17,2,0.65,377,10,6.702,2.382,1,""
"L","Paul Lake",1991,168,1991-06-17,3,1.3,411,12,8.1,2.379,2,""
"L","Paul Lake",1991,168,1991-06-17,4,2.4,347,12,5.846,2.727,1,""
"L","Paul Lake",1991,168,1991-06-17,5,3.25,359,12,8.68,3.221,5,""
"L","Paul Lake",1991,168,1991-06-17,6,5.4,446,20,9.153,1.78,0,""
"L","Paul Lake",1991,168,1991-06-17,7,8,1164,39,293.794,3.573,3,""
"R","Peter Lake",1991,169,1991-06-18,1,0,321,8,5.749,2.429,4,""
"R","Peter Lake",1991,169,1991-06-18,2,1,286,10,5.389,1.578,5,""
"R","Peter Lake",1991,169,1991-06-18,3,2,295,15,5.143,1.432,5,""
"R","Peter Lake",1991,169,1991-06-18,4,3.8,274,7,4.83,1.285,1,""
"R","Peter Lake",1991,169,1991-06-18,5,5.2,269,15,5.548,1.679,2,""
"R","Peter Lake",1991,169,1991-06-18,6,7.6,359,19,4.91,1.784,6,""
"R","Peter Lake",1991,169,1991-06-18,7,12,626,33,147.204,1.981,4,""
"L","Paul Lake",1991,175,1991-06-24,1,0,400,9,19.559,1.55,4,""
"L","Paul Lake",1991,175,1991-06-24,2,0.8,495,10,10.671,1.785,3,""
"L","Paul Lake",1991,175,1991-06-24,3,1.5,437,11,7.505,1.662,3,""
"L","Paul Lake",1991,175,1991-06-24,4,2.6,368,11,8.203,1.021,3,""
"L","Paul Lake",1991,175,1991-06-24,5,3.6,346,12,10.322,1.542,2,""
"L","Paul Lake",1991,175,1991-06-24,6,5.5,458,33,12.335,1.948,4,""
"L","Paul Lake",1991,175,1991-06-24,7,8,1287,75,595.08,2.517,12,""
"R","Peter Lake",1991,176,1991-06-25,1,0,292,4,5.817,1.51,4,""
"R","Peter Lake",1991,176,1991-06-25,2,1,304,7,8.633,1.267,3,""
"R","Peter Lake",1991,176,1991-06-25,3,1.9,317,6,8.114,1.628,3,""
"R","Peter Lake",1991,176,1991-06-25,4,3.4,312,8,6.502,1.868,3,""
"R","Peter Lake",1991,176,1991-06-25,5,4.7,334,11,7.391,1.588,3,""
"R","Peter Lake",1991,176,1991-06-25,6,7.4,336,17,9.925,1.587,4,""
"R","Peter Lake",1991,176,1991-06-25,7,12,593,25,178.713,1.548,6,""
"L","Paul Lake",1991,182,1991-07-01,1,0,506,9,21.958,11.954,7,""
"L","Paul Lake",1991,182,1991-07-01,2,0.8,560,12,22.046,10.833,2,""
"L","Paul Lake",1991,182,1991-07-01,3,1.6,503,12,25.922,11.346,8,""
"L","Paul Lake",1991,182,1991-07-01,4,2.5,504,13,21.183,8.509,6,""
"L","Paul Lake",1991,182,1991-07-01,5,3.8,398,12,12.291,4.733,5,""
"L","Paul Lake",1991,182,1991-07-01,6,5.7,535,39,12.697,2.337,9,""
"L","Paul Lake",1991,182,1991-07-01,7,8,1033,44,370.188,4.726,5,""
"R","Peter Lake",1991,183,1991-07-02,1,0,346,10,12.448,2.742,7,""
"R","Peter Lake",1991,183,1991-07-02,2,0.8,352,9,5.674,2.084,9,""
"R","Peter Lake",1991,183,1991-07-02,3,1.75,395,10,7.049,2.131,5,""
"R","Peter Lake",1991,183,1991-07-02,4,3.4,298,14,7.132,2.489,1,""
"R","Peter Lake",1991,183,1991-07-02,5,4.5,300,NA,6.378,1.361,6,""
"R","Peter Lake",1991,183,1991-07-02,6,7,385,18,6.809,2.243,2,""
"R","Peter Lake",1991,183,1991-07-02,7,12,592,28,142.336,1.574,4,""
"L","Paul Lake",1991,189,1991-07-08,1,0,341,11,18.406,5.232,3,""
"L","Paul Lake",1991,189,1991-07-08,2,0.75,522,14,17.224,2.681,4,""
"L","Paul Lake",1991,189,1991-07-08,3,1.4,416,11,13.084,2.309,1,""
"L","Paul Lake",1991,189,1991-07-08,4,2.5,402,18,14.895,2.625,3,""
"L","Paul Lake",1991,189,1991-07-08,5,3.5,397,10,13.108,1.967,0,""
"L","Paul Lake",1991,189,1991-07-08,6,5.5,462,16,10.744,1.31,3,""
"L","Paul Lake",1991,189,1991-07-08,7,8,1229,50,484.249,2.228,7,""
"R","Peter Lake",1991,190,1991-07-09,1,0,266,5,9.495,8.907,12,""
"R","Peter Lake",1991,190,1991-07-09,2,1.1,287,11,6.417,2.148,4,""
"R","Peter Lake",1991,190,1991-07-09,3,2,323,7,7.817,5.086,9,""
"R","Peter Lake",1991,190,1991-07-09,4,3.5,400,7,8.517,1.832,4,""
"R","Peter Lake",1991,190,1991-07-09,5,4.9,367,8,5.562,1.299,2,""
"R","Peter Lake",1991,190,1991-07-09,6,7.5,405,16,7.573,1.832,3,""
"R","Peter Lake",1991,190,1991-07-09,7,12,575,25,84.26,2.524,9,""
"L","Paul Lake",1991,196,1991-07-15,1,0,436,9,21.606,3.5,3,""
"L","Paul Lake",1991,196,1991-07-15,2,0.7,443,11,17.695,2.71,1,""
"L","Paul Lake",1991,196,1991-07-15,3,1.6,431,14,19.386,3.313,5,""
"L","Paul Lake",1991,196,1991-07-15,4,2.5,403,10,20.869,2.117,3,""
"L","Paul Lake",1991,196,1991-07-15,5,3.5,436,NA,15.761,2.021,2,""
"L","Paul Lake",1991,196,1991-07-15,6,5.5,386,20,17.114,2.061,4,""
"L","Paul Lake",1991,196,1991-07-15,7,8,1601,52,734.644,4.701,22,""
"R","Peter Lake",1991,197,1991-07-16,1,0,490,9,24.334,5.071,4,""
"R","Peter Lake",1991,197,1991-07-16,2,1,416,6,16.377,2.081,3,""
"R","Peter Lake",1991,197,1991-07-16,3,2,399,9,14.863,2.766,3,""
"R","Peter Lake",1991,197,1991-07-16,4,3.5,438,9,15.141,1.863,4,""
"R","Peter Lake",1991,197,1991-07-16,5,4.5,363,6,8.937,2.082,3,""
"R","Peter Lake",1991,197,1991-07-16,6,7.25,426,18,14.206,2.543,4,""
"R","Peter Lake",1991,197,1991-07-16,7,12,684,26,126.203,2.35,6,""
"L","Paul Lake",1991,203,1991-07-22,1,0,431,6,20.225,3.863,0,""
"L","Paul Lake",1991,203,1991-07-22,2,0.75,401,8,16.109,3.281,0,""
"L","Paul Lake",1991,203,1991-07-22,3,1.5,462,7,27.08,3.203,1,""
"L","Paul Lake",1991,203,1991-07-22,4,2.6,384,10,20.401,2.847,1,""
"L","Paul Lake",1991,203,1991-07-22,5,3.8,414,10,17.219,2.498,0,""
"L","Paul Lake",1991,203,1991-07-22,6,5.8,556,19,17.379,2.214,1,""
"L","Paul Lake",1991,203,1991-07-22,7,8,1266,39,652.295,4.629,4,""
"R","Peter Lake",1991,204,1991-07-23,1,0,364,7,17.35,3.003,1,""
"R","Peter Lake",1991,204,1991-07-23,2,1,389,8,14.343,1.953,3,""
"R","Peter Lake",1991,204,1991-07-23,3,2,336,9,10.606,1.486,0,""
"R","Peter Lake",1991,204,1991-07-23,4,3.5,336,8,10.037,2.135,2,""
"R","Peter Lake",1991,204,1991-07-23,5,4.9,357,8,9.86,2.008,3,""
"R","Peter Lake",1991,204,1991-07-23,6,7.75,391,13,16.473,2.484,3,""
"R","Peter Lake",1991,204,1991-07-23,7,12,775,25,143.523,2.263,2,""
"L","Paul Lake",1991,210,1991-07-29,1,0,442,9,8.904,2.993,1,""
"L","Paul Lake",1991,210,1991-07-29,2,0.5,404,18,9.91,2.707,2,""
"L","Paul Lake",1991,210,1991-07-29,3,1.2,329,12,8.83,1.909,2,""
"L","Paul Lake",1991,210,1991-07-29,4,2.4,317,9,8.185,2.032,3,""
"L","Paul Lake",1991,210,1991-07-29,5,3.4,381,12,13.436,1.93,1,""
"L","Paul Lake",1991,210,1991-07-29,6,5.8,452,23,8.686,1.827,3,""
"L","Paul Lake",1991,210,1991-07-29,7,8,1141,63,486.291,1.923,7,""
"R","Peter Lake",1991,211,1991-07-30,1,0,368,22,NA,NA,NA,""
"R","Peter Lake",1991,211,1991-07-30,2,0.9,373,11,7.661,1.453,1,""
"R","Peter Lake",1991,211,1991-07-30,3,2,333,11,6.459,1.507,1,""
"R","Peter Lake",1991,211,1991-07-30,4,3.4,325,7,14.784,NA,NA,""
"R","Peter Lake",1991,211,1991-07-30,5,4.5,344,11,9.184,1.555,1,""
"R","Peter Lake",1991,211,1991-07-30,6,7.5,342,19,7.893,1.201,1,""
"R","Peter Lake",1991,211,1991-07-30,7,12,754,41,147.557,1.276,4,""
"L","Paul Lake",1991,217,1991-08-05,1,0,380,11,8.653,1.32,8,""
"L","Paul Lake",1991,217,1991-08-05,2,0.7,388,15,13.328,1.601,3,""
"L","Paul Lake",1991,217,1991-08-05,3,1.5,343,13,5.59,1.923,5,""
"L","Paul Lake",1991,217,1991-08-05,4,2.5,321,11,14.591,1.037,3,""
"L","Paul Lake",1991,217,1991-08-05,5,3.4,352,22,14.046,0.941,3,""
"L","Paul Lake",1991,217,1991-08-05,6,5.6,367,22,20.332,0.976,3,""
"L","Paul Lake",1991,217,1991-08-05,7,8,1235,55,513.342,2.699,13,""
"R","Peter Lake",1991,218,1991-08-06,1,0,288,10,4.556,0.463,2,""
"R","Peter Lake",1991,218,1991-08-06,2,1,289,8,5.521,0.119,3,""
"R","Peter Lake",1991,218,1991-08-06,3,2,271,9,4.309,0.058,3,""
"R","Peter Lake",1991,218,1991-08-06,4,3.6,296,9,5.196,0.51,3,""
"R","Peter Lake",1991,218,1991-08-06,5,5,274,10,6.085,0.854,4,""
"R","Peter Lake",1991,218,1991-08-06,6,8,317,18,3.891,0.648,2,""
"R","Peter Lake",1991,218,1991-08-06,7,12,703,35,194.154,0.552,9,""
"L","Paul Lake",1991,224,1991-08-12,1,0,383,7,16.211,0.314,0,""
"L","Paul Lake",1991,224,1991-08-12,2,0.65,388,10,10.586,1.11,0,""
"L","Paul Lake",1991,224,1991-08-12,3,1.5,362,13,8.409,0.146,1,""
"L","Paul Lake",1991,224,1991-08-12,4,2.5,329,10,10.318,0.402,1,""
"L","Paul Lake",1991,224,1991-08-12,5,3.4,349,10,11.655,0.305,0,""
"L","Paul Lake",1991,224,1991-08-12,6,5.5,419,15,13.661,0.571,1,""
"L","Paul Lake",1991,224,1991-08-12,7,8,1273,43,519.949,2.685,10,""
"R","Peter Lake",1991,225,1991-08-13,1,0,317,12,8.638,0.579,1,""
"R","Peter Lake",1991,225,1991-08-13,2,1.3,312,10,5.292,0.65,2,""
"R","Peter Lake",1991,225,1991-08-13,3,2.4,345,8,5.186,0.738,1,""
"R","Peter Lake",1991,225,1991-08-13,4,4,326,11,10.641,1.968,1,""
"R","Peter Lake",1991,225,1991-08-13,5,5,354,10,7.421,2.446,4,""
"R","Peter Lake",1991,225,1991-08-13,6,7.4,402,15,6.986,1.614,2,""
"R","Peter Lake",1991,225,1991-08-13,7,12,946,38,288.331,1.136,7,""
"L","Paul Lake",1991,231,1991-08-19,1,0,415,8,11.667,1.685,5,""
"L","Paul Lake",1991,231,1991-08-19,2,0.9,383,11,17.343,1.279,5,""
"L","Paul Lake",1991,231,1991-08-19,3,1.6,387,10,31.193,0.88,5,""
"L","Paul Lake",1991,231,1991-08-19,4,2.6,349,11,22.07,1.031,5,""
"L","Paul Lake",1991,231,1991-08-19,5,3.4,325,13,17.798,1.535,5,""
"L","Paul Lake",1991,231,1991-08-19,6,5.2,381,18,16.055,0.843,6,""
"L","Paul Lake",1991,231,1991-08-19,7,8,1217,48,426.847,3.357,14,""
"R","Peter Lake",1991,232,1991-08-20,1,0,280,12,9.608,1.294,5,""
"R","Peter Lake",1991,232,1991-08-20,2,1,267,10,9.888,0.94,5,""
"R","Peter Lake",1991,232,1991-08-20,3,2,303,9,9.955,0.752,5,""
"R","Peter Lake",1991,232,1991-08-20,4,3.4,317,11,10.921,0.602,6,""
"R","Peter Lake",1991,232,1991-08-20,5,4.5,295,11,6.031,0.662,5,""
"R","Peter Lake",1991,232,1991-08-20,6,7.3,306,16,8.821,0.94,5,""
"R","Peter Lake",1991,232,1991-08-20,7,12,723,36,215.765,1.482,9,""
"L","Paul Lake",1991,238,1991-08-26,1,0,345,8,NA,NA,NA,""
"L","Paul Lake",1991,238,1991-08-26,2,0.7,398,9,NA,NA,NA,""
"L","Paul Lake",1991,238,1991-08-26,3,1.4,373,8,NA,NA,NA,""
"L","Paul Lake",1991,238,1991-08-26,4,2.35,317,16,NA,NA,NA,""
"L","Paul Lake",1991,238,1991-08-26,5,3.1,301,12,NA,NA,NA,""
"L","Paul Lake",1991,238,1991-08-26,6,5.15,289,13,NA,NA,NA,""
"L","Paul Lake",1991,238,1991-08-26,7,8,1074,43,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,1,0,275,11,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,2,1.1,296,10,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,3,2.12,320,8,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,4,3.67,336,8,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,5,4.9,279,10,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,6,7.74,307,16,NA,NA,NA,""
"R","Peter Lake",1991,239,1991-08-27,7,12,714,34,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,1,0,477,7,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,2,0.6,488,11,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,3,1.25,411,11,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,4,2.3,342,11,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,5,3.1,403,8,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,6,5.25,343,17,NA,NA,NA,""
"L","Paul Lake",1991,245,1991-09-02,7,8,1638,42,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,1,0,345,6,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,2,0.85,388,7,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,3,2.2,350,9,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,4,4,430,10,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,5,5.5,417,11,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,6,8.4,398,21,NA,NA,NA,""
"R","Peter Lake",1991,246,1991-09-03,7,12,703,29,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,1,0,279.62,9.66,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,2,0.95,277.69,12.68,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,3,1.35,435.23,14.47,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,4,3.1,365.39,18.61,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,5,3.9,471.11,18.22,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,6,5.5,761.22,43.89,NA,NA,NA,""
"L","Paul Lake",1992,141,1992-05-20,7,8,1067.63,65.04,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,1,0,347.15,12.32,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,2,0.95,448.79,13.32,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,3,1.85,339.81,14.77,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,4,3.2,314.62,11.92,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,5,4.1,286.18,13.17,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,6,6.1,339.76,26.38,NA,NA,NA,""
"R","Peter Lake",1992,141,1992-05-20,7,12,521.88,33.15,NA,NA,NA,""
"L","Paul Lake",1992,148,1992-05-27,1,0,301.32,22.62,6.22,0,0,""
"L","Paul Lake",1992,148,1992-05-27,2,0.95,309.08,5.7,19.72,0.03,5,""
"L","Paul Lake",1992,148,1992-05-27,3,1.9,407.59,4.3,13.86,0,3,""
"L","Paul Lake",1992,148,1992-05-27,4,3.15,349.19,12.17,22.14,0,5,""
"L","Paul Lake",1992,148,1992-05-27,5,4.1,317.21,15.85,33.27,0,6,""
"L","Paul Lake",1992,148,1992-05-27,6,5.7,238.37,17.29,22.52,0,3,""
"L","Paul Lake",1992,148,1992-05-27,7,8,1286.7,58.25,701.87,0,15,""
"R","Peter Lake",1992,148,1992-05-27,1,0,272,5.65,15.02,0.08,11,""
"R","Peter Lake",1992,148,1992-05-27,2,0.9,262.65,14.01,15.37,0,0,""
"R","Peter Lake",1992,148,1992-05-27,3,1.85,350.51,12.25,18.33,0,14,""
"R","Peter Lake",1992,148,1992-05-27,4,3.2,342.32,11.91,13.5,0,2,""
"R","Peter Lake",1992,148,1992-05-27,5,4.25,373.77,14.52,7.67,0,7,""
"R","Peter Lake",1992,148,1992-05-27,6,6.4,420.57,21.78,11.18,0,4,""
"R","Peter Lake",1992,148,1992-05-27,7,12,902.66,34.05,467.4,0,13,""
"L","Paul Lake",1992,155,1992-06-03,1,0,267.19,13.74,NA,NA,NA,""
"L","Paul Lake",1992,155,1992-06-03,2,0.95,460.15,9.04,NA,NA,NA,""
"L","Paul Lake",1992,155,1992-06-03,3,1.75,441.74,7.64,NA,NA,NA,""
"L","Paul Lake",1992,155,1992-06-03,4,3.15,265.6,12.4,NA,NA,NA,""
"L","Paul Lake",1992,155,1992-06-03,5,4.3,201.19,9.95,NA,NA,NA,""
"L","Paul Lake",1992,155,1992-06-03,6,5.9,250.68,27.37,NA,NA,NA,""
"L","Paul Lake",1992,155,1992-06-03,7,8,930.95,47.42,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,1,0,644.28,14.98,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,2,1,373.54,7.75,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,3,2,341.85,8.53,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,4,3.4,295.06,6.44,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,5,4.6,351.92,5.88,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,6,7,323.23,22.86,NA,NA,NA,""
"R","Peter Lake",1992,155,1992-06-03,7,12,868.62,34.2,NA,NA,NA,""
"L","Paul Lake",1992,162,1992-06-10,1,0,299.61,7.39,9.94,4.92,3,""
"L","Paul Lake",1992,162,1992-06-10,2,0.875,293.8,4.75,4.61,3.85,1,""
"L","Paul Lake",1992,162,1992-06-10,3,1.7,317.93,8.04,8.05,4.77,1,""
"L","Paul Lake",1992,162,1992-06-10,4,2.95,294.98,5.76,6,2.98,0,""
"L","Paul Lake",1992,162,1992-06-10,5,4.1,301.89,6.79,5.1,1.98,5,""
"L","Paul Lake",1992,162,1992-06-10,6,5.8,421.41,29.43,4.5,1.13,6,""
"L","Paul Lake",1992,162,1992-06-10,7,8,763.69,34.34,219.28,1.87,8,""
"R","Peter Lake",1992,162,1992-06-10,1,0,258.24,8.3,8.16,1.36,4,""
"R","Peter Lake",1992,162,1992-06-10,2,0.9,293.3,0,7.5,1.41,6,""
"R","Peter Lake",1992,162,1992-06-10,3,1.95,283.14,0,12.81,0.95,4,""
"R","Peter Lake",1992,162,1992-06-10,4,3.35,275.51,9.99,2.99,1.43,5,""
"R","Peter Lake",1992,162,1992-06-10,5,4.5,174,25.72,3.26,1.02,3,""
"R","Peter Lake",1992,162,1992-06-10,6,6.9,200.44,17.43,28.44,1.3,5,""
"R","Peter Lake",1992,162,1992-06-10,7,12,600.38,34.54,290.79,1.21,12,""
"L","Paul Lake",1992,169,1992-06-17,1,0,595.99,0.11,NA,NA,NA,""
"L","Paul Lake",1992,169,1992-06-17,2,0.6,419.28,1.21,NA,NA,NA,""
"L","Paul Lake",1992,169,1992-06-17,3,1.25,539.7,1.78,NA,NA,NA,""
"L","Paul Lake",1992,169,1992-06-17,4,2.8,481.13,0,NA,NA,NA,""
"L","Paul Lake",1992,169,1992-06-17,5,4.4,493.33,7.93,NA,NA,NA,""
"L","Paul Lake",1992,169,1992-06-17,6,5.95,648.67,9.58,NA,NA,NA,""
"L","Paul Lake",1992,169,1992-06-17,7,8,1777.29,34.19,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,1,0,581.51,3.54,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,2,0.75,547.89,5.43,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,3,1.4,502.58,5.63,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,4,2.35,428.02,3.37,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,5,2.85,415.2,5.9,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,6,3.6,282.43,5.9,NA,NA,NA,""
"R","Peter Lake",1992,169,1992-06-17,7,12,771.12,27.63,NA,NA,NA,""
"L","Paul Lake",1992,176,1992-06-24,1,0,182.91,8.78,8.13,2.47,6,""
"L","Paul Lake",1992,176,1992-06-24,2,0.7,297.9,7.37,8.15,1.72,5,""
"L","Paul Lake",1992,176,1992-06-24,3,1.45,417.67,13.48,7.69,1.54,5,""
"L","Paul Lake",1992,176,1992-06-24,4,2.7,319.57,13.43,8.08,1.63,6,""
"L","Paul Lake",1992,176,1992-06-24,5,3.6,197.89,13.46,8.42,1.72,7,""
"L","Paul Lake",1992,176,1992-06-24,6,5.55,280.59,29.78,7.31,1.67,7,""
"L","Paul Lake",1992,176,1992-06-24,7,8,1228.78,66.88,498.62,2.75,13,""
"R","Peter Lake",1992,176,1992-06-24,1,0,219.72,0,10.81,1.81,6,""
"R","Peter Lake",1992,176,1992-06-24,2,0.8,138.73,12.48,9.18,2.47,6,""
"R","Peter Lake",1992,176,1992-06-24,3,1.8,346.65,8.65,8.92,1.77,6,""
"R","Peter Lake",1992,176,1992-06-24,4,3.5,410.39,10.7,11.34,2.14,6,""
"R","Peter Lake",1992,176,1992-06-24,5,5,291.39,7.09,8.35,1.54,7,""
"R","Peter Lake",1992,176,1992-06-24,6,7.1,224.5,17.88,9.59,3.87,8,""
"R","Peter Lake",1992,176,1992-06-24,7,12,887.87,60.27,335.7,1.44,20,""
"L","Paul Lake",1992,183,1992-07-01,1,0,495.68,7.67,NA,NA,NA,""
"L","Paul Lake",1992,183,1992-07-01,2,0.7,427.69,15.49,NA,NA,NA,""
"L","Paul Lake",1992,183,1992-07-01,3,1.48,442.54,9.15,NA,NA,NA,""
"L","Paul Lake",1992,183,1992-07-01,4,2.6,417.4,11.68,NA,NA,NA,""
"L","Paul Lake",1992,183,1992-07-01,5,3.45,335.96,14.37,NA,NA,NA,""
"L","Paul Lake",1992,183,1992-07-01,6,5.35,515.86,26.84,NA,NA,NA,""
"L","Paul Lake",1992,183,1992-07-01,7,8,1263.67,56.93,NA,NA,NA,""
"R","Peter Lake",1992,183,1992-07-01,1,0,469.42,8.13,NA,NA,NA,""
